run_timestamp,universe,start_date,end_date,strategy,direction,initial_capital,final_equity,fvg_min_gap_pct,vol_spike_mult,min_body_pct,stop_loss_pct,take_profit_pct,max_hold_days,max_positions,tcost_per_side,slippage_per_side,total_return,cagr,volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,avg_win,avg_loss,profit_factor,avg_hold_days,stopped_out,stop_rate,best_trade,worst_trade,median_trade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,avg_hold_bars
2026-05-06 06:26:33,NIFTY_750,2010-02-01,2025-12-30,FVG_Volume_Momentum_v2,long_only,1000000,314917311.62,0.005,1.5,0.015,0.01,0.05,10,5,0.001,0.0005,313.917312,0.435569,0.064844,-0.215908,2.0798,8.8302,2.0174,10921,0.2865,0.050667,-0.014294,1.4233,2.41,6893,0.6312,0.216194,-0.125958,-0.013,-0.0033,-0.1314,0.4322,0.3753,1.0429,0.5235,0.4079,0.8083,0.0276,0.4594,1.3459,1.2043,0.3714,0.705,0.3396,-0.0405,,
2026-05-06 06:27:46,NIFTY_750,2010-02-01,2025-12-30,FVG_Volume_Momentum_v2,long_only,1000000,134403929.61,0.005,1.5,0.015,0.03,0.05,10,5,0.001,0.0005,133.40393,0.360759,0.083822,-0.173904,2.3164,9.5708,2.0745,6480,0.4878,0.048329,-0.033343,1.3804,4.21,2984,0.4605,0.216194,-0.157936,-0.015736,0.0284,-0.1429,0.4853,0.3013,0.7522,0.3014,0.273,0.7705,0.0145,0.1821,1.0932,0.8457,0.3147,0.4835,0.674,0.0147,,
2026-05-06 06:30:24,NIFTY_750,2010-02-01,2025-12-30,FVG_Volume_Momentum_v2,long_only,1000000,61589376.59,0.005,1.5,0.015,0.05,0.05,10,5,0.001,0.0005,60.589377,0.295625,0.095769,-0.222611,2.2867,6.3842,1.328,4845,0.586,0.047439,-0.049087,1.3677,5.74,1570,0.324,0.195794,-0.186594,0.047,0.0703,-0.1667,0.3891,0.2027,0.7053,0.237,0.2075,0.6344,-0.1527,0.0684,0.7429,0.8344,0.3109,0.4877,0.6488,0.0669,,
2026-05-06 06:32:40,NIFTY_750,2010-02-01,2025-12-30,FVG_Volume_Momentum_v2,long_only,1000000,51239707.8,0.005,1.5,0.015,0.07,0.05,10,5,0.001,0.0005,50.239708,0.280729,0.103823,-0.206552,2.3824,4.679,1.3591,4102,0.6346,0.047081,-0.058526,1.3969,6.85,909,0.2216,0.195794,-0.206524,0.047,0.1165,-0.0904,0.4579,0.0786,0.6881,0.33,0.2492,0.5511,-0.0873,-0.0736,0.9521,0.6704,0.1645,0.6515,0.3765,0.0107,,
2026-05-06 06:34:57,NIFTY_750,2026-01-01,2026-05-04,FVG_Volume_Momentum_v2,long_only,1000000,1034094.94,0.005,1.5,0.015,0.01,0.05,10,5,0.001,0.0005,0.034095,0.104682,0.060655,-0.087208,0.6439,2.4346,1.2004,227,0.2599,0.047935,-0.015465,1.0885,2.48,125,0.5507,0.111105,-0.05347,-0.013,,,,,,,,,,,,,,,,,0.0341,
2026-05-06 06:35:11,NIFTY_750,2026-01-01,2026-05-04,FVG_Volume_Momentum_v2,long_only,1000000,1047467.05,0.005,1.5,0.015,0.03,0.05,10,5,0.001,0.0005,0.047467,0.147644,0.080408,-0.042474,1.0638,4.8744,3.4761,142,0.4437,0.046512,-0.033975,1.0918,4.18,69,0.4859,0.111105,-0.060356,-0.033,,,,,,,,,,,,,,,,,0.0475,
2026-05-06 06:35:20,NIFTY_750,2026-01-01,2026-05-04,FVG_Volume_Momentum_v2,long_only,1000000,1045991.59,0.005,1.5,0.015,0.05,0.05,10,5,0.001,0.0005,0.045992,0.14285,0.093135,-0.031331,1.2167,3.9321,4.5593,104,0.5385,0.046672,-0.0491,1.109,5.75,32,0.3077,0.072677,-0.078552,0.047,,,,,,,,,,,,,,,,,0.046,
2026-05-06 06:35:31,NIFTY_750,2026-01-01,2026-05-04,FVG_Volume_Momentum_v2,long_only,1000000,1040958.58,0.005,1.5,0.015,0.07,0.05,10,5,0.001,0.0005,0.040959,0.126598,0.104346,-0.038581,1.1296,2.6555,3.2814,90,0.5889,0.045156,-0.05984,1.0809,6.73,23,0.2556,0.111105,-0.090456,0.047,,,,,,,,,,,,,,,,,0.041,
2026-05-06 06:42:15,NIFTY_750,2026-01-02,2026-05-04,FVG_Volume_Momentum_v2,long_only,1000000,846576.91,0.005,1.5,0.015,0.07,0.05,10,5,0.001,0.0005,-0.153423,-0.392643,0.109257,-0.180023,-3.0663,-3.62,2.1811,80,0.425,0.045591,-0.061494,0.548,4.6,32,0.4,0.069662,-0.118622,-0.028271,,,,,,,,,,,,,,,,,-0.1534,
2026-05-06 06:43:56,NIFTY_750,2026-01-02,2026-05-04,FVG_Volume_Momentum_v2,long_only,1000000,846576.91,0.005,1.5,0.015,0.07,0.05,10,5,0.001,0.0005,-0.153423,-0.392643,0.151063,-0.190992,-3.1086,-5.0458,2.0558,80,0.425,0.045591,-0.061494,0.548,,32,0.4,0.069662,-0.118622,-0.028271,,,,,,,,,,,,,,,,,-0.1531,4.6
