,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl,pnl_pct
0,2026-01-20 19:25:00+00:00,2026-01-27 19:25:00+00:00,LONG,60.36000061035156,62.38999938964844,TIME,2.029998779296875,3.3631523505132903
1,2026-01-22 14:30:00+00:00,2026-01-27 13:40:00+00:00,SHORT,59.630001068115234,61.41890110015869,STOP,-1.7889000320434576,-3.000000000000001
2,2026-01-27 13:40:00+00:00,2026-02-05 19:25:00+00:00,LONG,61.619998931884766,63.2599983215332,TIME,1.6399993896484375,2.661472603174346
3,2026-01-27 19:25:00+00:00,2026-02-05 19:25:00+00:00,LONG,62.38999938964844,63.2599983215332,TIME,0.8699989318847656,1.3944525411056716
4,2026-02-02 18:50:00+00:00,2026-02-04 17:25:00+00:00,SHORT,61.61000061035156,63.45830062866211,STOP,-1.848300018310546,-2.9999999999999987
5,2026-02-04 17:25:00+00:00,2026-02-12 19:25:00+00:00,LONG,64.69000244140625,62.74930236816406,STOP,-1.9407000732421906,-3.000000000000005
6,2026-02-05 19:25:00+00:00,2026-02-12 19:25:00+00:00,SHORT,63.2599983215332,62.880001068115234,TIME,0.37999725341796875,0.60069121640906
7,2026-02-09 19:25:00+00:00,2026-02-19 15:00:00+00:00,SHORT,64.33000183105469,66.25990188598632,STOP,-1.929900054931636,-2.999999999999993
8,2026-02-10 19:25:00+00:00,2026-02-19 15:00:00+00:00,LONG,64.0,65.75,TIME,1.75,2.734375
9,2026-02-11 19:25:00+00:00,2026-02-12 19:25:00+00:00,LONG,64.5999984741211,62.66199851989746,STOP,-1.9379999542236348,-3.000000000000003
10,2026-02-12 19:25:00+00:00,2026-02-19 15:00:00+00:00,LONG,62.880001068115234,65.75,TIME,2.8699989318847656,4.564247587680251
11,2026-02-17 13:50:00+00:00,2026-02-18 19:25:00+00:00,SHORT,62.4900016784668,64.3647017288208,STOP,-1.8747000503540079,-3.0000000000000067
12,2026-02-18 19:25:00+00:00,2026-02-24 15:25:00+00:00,SHORT,64.98999786376953,65.9000015258789,TIME,-0.910003662109375,-1.4002210986633707
13,2026-02-19 15:00:00+00:00,2026-02-24 15:25:00+00:00,SHORT,65.75,65.9000015258789,TIME,-0.15000152587890625,-0.2281392028576521
14,2026-03-17 07:30:00+00:00,2026-03-19 15:45:00+00:00,SHORT,95.87000274658205,98.7461028289795,STOP,-2.876100082397457,-2.9999999999999956
15,2026-03-19 15:45:00+00:00,2026-03-23 11:05:00+00:00,LONG,99.87000274658205,96.87390266418458,STOP,-2.9961000823974615,-3.0000000000000004
16,2026-03-23 11:05:00+00:00,2026-03-27 18:25:00+00:00,SHORT,86.48999786376953,89.08469779968262,STOP,-2.5946999359130842,-2.9999999999999982
