entry,dist,vix,sl,n,wr,pnl,return_pct,cagr,pf,avg_w,avg_l,expectancy,sharpe,calmar,max_dd,max_dd_pct,best_trade,worst_trade,avg_prem,full_prem_pct,one_stopped_pct,both_stopped_pct,max_consec_loss
09:15,100,off,3.0,281,55.871886120996436,1695204.7200000002,169.520472,16.98840633492482,2.002908402604932,21563.65222929936,-13631.360322580647,6032.757010676158,1.7015400914835905,0.9209789539508427,184460.31000000006,18.446031000000005,136249.35,-180965.28,47.97637010676157,54.44839857651246,45.195729537366546,0.3558718861209964,8
09:45,100,off,2.0,264,57.95454545454546,1667174.12,166.717412,16.795010605392346,3.578173189029066,15123.029477124182,-5825.670180180179,6315.053484848485,2.3960868445041226,1.5296976196747167,109793.01000000071,10.97930100000007,155034.84,-34343.99,40.743181818181824,37.5,56.439393939393945,6.0606060606060606,4
09:15,100,off,2.0,281,55.871886120996436,1646137.0300000003,164.61370300000002,16.648739245451118,2.907485378533992,15981.688216560507,-6959.580806451612,5858.138896797154,2.1939616698550295,2.070418621281698,80412.43000000005,8.041243000000005,136249.35,-67694.95,47.97637010676157,32.38434163701068,61.92170818505338,5.6939501779359425,6
09:15,100,off,2.5,281,51.60142348754449,1618134.46,161.813446,16.45251049941445,2.2069159607727324,20405.88193103448,-9858.223676470589,5758.485622775801,1.886377003338161,1.0526666663732736,156293.64,15.629364,136249.35,-120278.31,47.97637010676157,44.48398576512456,52.66903914590747,2.8469750889679712,7
09:45,100,off,3.0,264,58.71212121212122,1605904.0399999998,160.59040399999998,16.366250754366305,2.1208979132596384,19603.86019354839,-13143.984311926608,6082.969848484848,1.6221829963522385,1.1690583270426087,139995.16000000061,13.999516000000062,256622.21,-101220.35,40.743181818181824,56.81818181818182,41.28787878787879,1.893939393939394,6
09:20,100,off,2.0,269,56.877323420074354,1593397.5999999999,159.33975999999998,16.27769114859405,3.1213973668431727,15323.563137254903,-6475.065172413792,5923.411152416356,2.332793401029153,2.180071766221644,74665.8500000001,7.466585000000009,159533.46,-51270.35,46.237657992565055,31.59851301115242,64.31226765799256,4.089219330855019,7
09:30,100,off,3.0,268,58.2089552238806,1511646.35,151.164635,15.689778748479899,1.8786864937198136,20717.911025641028,-15360.247946428572,5640.471455223881,1.3116674513581248,0.5582540338774212,281050.8799999999,28.105087999999988,295537.09,-208514.91,43.36996268656717,57.08955223880597,42.16417910447761,0.7462686567164178,6
09:30,100,off,2.0,268,55.59701492537313,1484005.49,148.40054899999998,15.48735428255361,2.962536987039991,15034.713959731544,-6354.343613445376,5537.333917910448,2.2704192485338077,3.05042055971359,50771.20999999996,5.077120999999996,155544.12,-49007.51,43.36996268656717,35.07462686567165,60.447761194029844,4.477611940298507,6
09:45,100,off,2.5,264,54.54545454545454,1393910.53,139.391053,14.81412116211498,2.241174610854318,17478.945069444442,-9358.813,5279.9641287878785,1.8904050084390573,1.1315596667979693,130917.71999999997,13.091771999999995,155034.84,-63650.1,40.743181818181824,49.24242424242424,46.590909090909086,4.166666666666666,5
09:30,100,off,2.5,268,51.865671641791046,1279361.56,127.93615600000001,13.92665266153128,1.961314292727224,18778.473741007194,-10316.637906976744,4773.737164179105,1.649131329398012,0.6250057853423077,222824.38,22.282438000000003,155544.12,-87089.7,43.36996268656717,47.76119402985074,50.0,2.2388059701492535,6
09:15,150,off,2.0,200,60.5,1180657.0,118.0657,13.131298007926052,3.7991363163361616,13243.391074380164,-5339.155949367088,5903.285,2.6823689180731125,2.5743110346307705,51008.9800000001,5.10089800000001,84467.77,-47236.14,38.6658,38.5,56.00000000000001,5.5,6
09:20,100,off,3.0,269,54.646840148698885,1155634.1600000001,115.56341600000002,12.924858116311055,1.6143964571659717,20656.870612244897,-15417.42475409836,4296.037769516729,1.1659725974684187,0.2918010394080909,442933.92999999993,44.293392999999995,159533.46,-155811.11,46.237657992565055,54.27509293680297,44.60966542750929,1.1152416356877324,6
09:15,150,off,2.5,200,57.99999999999999,1106635.83,110.66358300000002,12.514707343680097,2.6680687828638168,15259.131120689653,-7897.897380952382,5533.17915,2.2467840519878965,1.110615482056116,112682.63,11.268263000000001,84467.77,-90185.22,38.6658,49.0,49.5,1.5,5
09:20,100,off,2.5,269,50.18587360594795,1095741.73,109.574173,12.422426232806338,1.7620672106276127,18767.37911111111,-10730.257089552237,4073.3893308550187,1.2606469084971028,0.41511509216750414,299252.57999999996,29.925257999999992,159533.46,-155811.11,46.237657992565055,41.63568773234201,56.13382899628253,2.2304832713754648,5
09:15,150,off,3.0,200,57.49999999999999,1033438.3,103.34383,11.886775401009197,2.1151921920533665,17044.600521739132,-10902.244235294116,5167.1915,1.73658908346124,0.82841073926962,143488.91000000003,14.348891000000002,84467.77,-143488.91,38.6658,55.00000000000001,44.5,0.5,5
09:20,150,off,2.0,195,56.92307692307692,981156.9200000002,98.11569200000002,11.426520714442567,3.3784849655793003,12555.588468468472,-4910.8738095238095,5031.57394871795,2.38026603248053,1.668930908217597,68466.10999999987,6.846610999999987,125272.54,-35132.47,35.83297435897436,37.43589743589744,56.92307692307692,5.641025641025641,6
09:45,150,off,3.0,177,60.451977401129945,966090.72,96.609072,11.291989784476808,2.339013711086021,15771.822336448598,-10307.061000000002,5458.139661016949,1.5076823012711904,1.5485536581427337,72919.58999999985,7.291958999999985,264574.99,-64714.17,33.08598870056497,58.75706214689266,40.11299435028249,1.1299435028248588,6
09:45,150,off,2.0,177,55.367231638418076,868720.2,86.87201999999999,10.400983225266058,3.389704576718393,12573.94275510204,-4601.597341772152,4908.0237288135595,2.1775589025191904,1.991309754995577,52231.86999999988,5.223186999999988,120604.15,-28995.48,33.08598870056497,37.85310734463277,54.23728813559322,7.909604519774012,4
09:30,150,off,3.0,187,57.75401069518716,854019.27,85.401927,10.263081277523467,1.9223412159543891,16480.97027777778,-11720.576202531645,4566.947967914439,1.159569722983745,1.4135184731096135,72606.63,7.260663000000001,299715.21,-72606.63,34.75032085561497,56.14973262032086,42.24598930481284,1.6042780748663104,6
09:30,150,off,2.0,187,53.475935828877006,821864.78,82.18647800000001,9.958218527011864,2.7714493199479096,12858.152699999999,-5332.764252873564,4394.998823529412,2.0190425599586757,2.2961287461751647,43369.60000000009,4.336960000000009,123574.94,-39477.24,34.75032085561497,37.967914438502675,56.68449197860963,5.347593582887701,5
09:15,200,off,2.0,128,61.71875,766510.26,76.651026,9.422616813914964,4.110229185724089,12822.258481012657,-5029.5542857142855,5988.36140625,2.339939641270331,2.717299608354661,34676.40000000002,3.4676400000000025,127448.92,-34676.4,35.1834375,39.84375,55.46875,4.6875,4
