date,entry_time,spot_at_entry,spot_at_close,vix,expiry,ce_strike,pe_strike,ce_entry_prem,pe_entry_prem,ce_exit_prem,pe_exit_prem,ce_stopped,pe_stopped,ce_exit_time,pe_exit_time,lots_per_leg,total_premium_collected,gross_pnl,total_costs,net_pnl,strike_dist,sl_mult,vix_filter,cumulative_pnl,equity
2020-03-26,09:15,8365.4,8653.5,79.36,2020-03-26,8450,8250,77.75,113.45,242.25,0.1,True,False,10:12,15:25,73,191.2,-93348.75,784.6,-94133.35,100,3.0,off,-94133.35,905866.65
2020-04-01,09:15,8541.1,8262.6,64.23,2020-04-01,8650,8450,35.0,66.8,0.05,202.0,False,True,15:25,11:12,72,101.8,-180450.0,515.28,-180965.28,100,3.0,off,-275098.63,724901.37
2020-04-09,09:15,8923.5,9098.5,50.79,2020-04-09,9000,8800,60.4,46.95,109.05,0.1,False,False,15:25,15:25,68,107.35,-3060.0,435.03,-3495.03,100,3.0,off,-278593.66000000003,721406.34
2020-04-16,09:15,8857.9,9016.6,49.51,2020-04-16,8950,8750,36.85,38.1,42.7,0.1,False,False,15:25,15:25,69,74.95,55458.75,310.1,55148.65,100,3.0,off,-223445.01000000004,776554.99
2020-04-23,09:15,9184.0,9302.9,42.18,2020-04-23,9300,9100,12.7,33.9,12.4,0.05,False,False,15:25,15:25,67,46.6,57201.25,214.08,56987.17,100,3.0,off,-166457.84000000003,833542.1599999999
2020-05-07,09:15,9209.0,9213.0,41.52,2020-05-07,9300,9100,19.35,26.45,0.05,0.05,False,False,15:25,15:25,66,45.8,75405.0,201.37,75203.63,100,3.0,off,-91254.21000000002,908745.79
2020-05-14,09:15,9211.5,9150.2,37.35,2020-05-14,9300,9100,47.0,35.95,0.1,0.1,False,False,15:25,15:25,66,82.95,136537.5,288.15,136249.35,100,3.0,off,44995.139999999985,1044995.14
2020-05-21,09:15,9073.5,9102.2,34.34,2020-05-21,9150,8950,12.05,6.95,0.1,0.05,False,False,15:25,15:25,67,19.0,31573.75,139.53,31434.22,100,3.0,off,76429.35999999999,1076429.3599999999
2020-05-28,09:15,9352.4,9488.0,30.68,2020-05-28,9450,9250,6.5,6.5,19.9,0.05,True,False,11:01,15:25,65,13.0,-11293.75,138.7,-11432.45,100,3.0,off,64996.90999999999,1064996.91
2020-06-04,09:15,10079.1,10030.8,29.12,2020-06-04,10200,10000,8.15,18.85,0.05,60.15,False,True,15:25,12:23,61,27.0,-50630.0,193.45,-50823.45,100,3.0,off,14173.459999999992,1014173.46
2020-06-11,09:15,10065.3,9910.1,29.41,2020-06-11,10150,9950,20.0,13.6,0.1,42.5,False,True,15:25,14:40,61,33.6,-13725.0,195.76,-13920.76,100,3.0,off,252.69999999999163,1000252.7
2020-06-25,09:15,10205.0,10284.4,30.4,2020-06-25,10300,10100,12.6,21.0,39.4,0.1,True,False,09:52,15:25,60,33.6,-8850.0,192.03,-9042.03,100,3.0,off,-8789.330000000009,991210.67
2020-07-02,09:15,10514.9,10563.6,27.48,2020-07-02,10600,10400,10.1,12.6,0.05,0.05,False,False,15:25,15:25,58,22.7,32770.0,141.03,32628.97,100,3.0,off,23839.639999999992,1023839.64
2020-07-09,09:15,10752.6,10833.5,25.82,2020-07-09,10850,10650,7.6,11.9,0.1,0.05,False,False,15:25,15:25,57,19.5,27573.75,133.8,27439.95,100,3.0,off,51279.59,1051279.59
2020-07-16,09:15,10641.2,10728.0,26.51,2020-07-16,10750,10550,5.0,17.45,0.15,0.1,False,False,15:25,15:25,57,22.45,31635.0,139.81,31495.19,100,3.0,off,82774.78,1082774.78
2020-07-23,09:15,11119.5,11234.6,24.84,2020-07-23,11200,11000,8.5,5.85,26.65,0.05,True,False,11:38,15:25,55,14.35,-16981.25,138.63,-17119.88,100,3.0,off,65654.9,1065654.9
2020-07-30,09:15,11258.9,11095.1,23.72,2020-07-30,11350,11150,5.6,6.9,0.1,24.35,False,True,15:25,13:53,54,12.5,-16132.5,132.94,-16265.44,100,3.0,off,49389.45999999999,1049389.46
2020-08-06,09:15,11159.9,11206.8,23.08,2020-08-06,11250,11050,7.75,14.5,23.5,0.05,True,False,13:02,15:25,55,22.25,-1787.5,152.07,-1939.57,100,3.0,off,47449.88999999999,1047449.89
2020-09-24,09:15,10985.4,10821.4,21.75,2020-09-24,11100,10900,8.55,10.1,0.15,33.7,False,True,15:25,12:24,56,18.65,-21280.0,152.4,-21432.4,100,3.0,off,26017.48999999999,1026017.49
2020-10-15,09:15,11978.6,11672.5,20.36,2020-10-15,12100,11900,5.2,15.5,0.05,46.75,False,True,15:25,13:04,51,20.7,-33277.5,158.26,-33435.76,100,3.0,off,-7418.270000000011,992581.73
2020-10-22,09:15,11896.0,11902.2,22.9,2020-10-22,12000,11800,7.15,18.9,0.05,0.05,False,False,15:25,15:25,51,26.05,33086.25,141.44,32944.81,100,3.0,off,25526.539999999986,1025526.54
2020-10-29,09:15,11640.0,11670.7,23.42,2020-10-29,11750,11550,10.3,20.6,0.05,0.05,False,False,15:25,15:25,52,30.9,40040.0,151.28,39888.72,100,3.0,off,65415.25999999999,1065415.26
2020-11-05,09:15,12064.4,12127.6,21.87,2020-11-05,12150,11950,22.6,13.05,0.05,0.05,False,False,15:25,15:25,51,35.65,45326.25,158.75,45167.5,100,3.0,off,110582.75999999998,1110582.76
2020-11-12,09:15,12693.7,12693.0,21.29,2020-11-12,12800,12600,14.6,14.35,0.05,0.05,False,False,15:25,15:25,48,28.95,34620.0,143.59,34476.41,100,3.0,off,145059.16999999998,1145059.17
2020-11-19,09:15,12863.4,12760.6,19.25,2020-11-19,12950,12750,10.0,6.2,0.05,18.8,False,True,15:25,14:29,47,16.2,-3113.75,131.17,-3244.92,100,3.0,off,141814.24999999997,1141814.25
2020-11-26,09:15,12893.1,13015.0,19.76,2020-11-26,13000,12800,8.85,20.9,0.1,0.05,False,False,15:25,15:25,47,29.75,34780.0,143.92,34636.08,100,3.0,off,176450.32999999996,1176450.33
2020-12-03,09:15,13167.5,13136.6,18.72,2020-12-03,13250,13050,10.0,13.35,0.05,0.05,False,False,15:25,15:25,46,23.35,26737.5,132.43,26605.07,100,3.0,off,203055.39999999997,1203055.4
2020-12-10,09:15,13473.3,13481.5,18.19,2020-12-10,13550,13350,16.15,8.85,0.05,0.05,False,False,15:25,15:25,45,25.0,28012.5,134.24,27878.26,100,3.0,off,230933.65999999997,1230933.66
2020-12-24,09:15,13669.3,13740.4,20.05,2020-12-24,13750,13550,8.55,6.35,0.15,0.05,False,False,15:25,15:25,45,14.9,16537.5,118.21,16419.29,100,3.0,off,247352.94999999998,1247352.95
2020-12-31,09:15,13953.2,13967.0,21.29,2020-12-31,14050,13850,8.6,14.5,0.05,0.05,False,False,15:25,15:25,44,23.1,25300.0,130.4,25169.6,100,3.0,off,272522.55,1272522.55
2021-01-14,09:15,14543.0,14597.5,23.48,2021-01-14,14650,14450,8.65,12.4,0.05,0.05,False,False,15:25,15:25,42,21.05,21997.5,125.71,21871.79,100,3.0,off,294394.33999999997,1294394.3399999999
2021-01-28,09:15,13861.4,13819.8,24.64,2021-01-28,13950,13750,24.25,19.6,0.05,59.05,False,True,15:25,13:04,44,43.85,-16775.0,191.53,-16966.53,100,3.0,off,277427.80999999994,1277427.81
2021-02-04,09:15,14738.6,14889.5,23.83,2021-02-04,14850,14650,15.55,37.4,55.5,0.1,True,False,14:11,15:25,41,52.95,-2716.25,196.5,-2912.75,100,3.0,off,274515.05999999994,1274515.06
2021-02-11,09:15,15094.1,15176.6,24.18,2021-02-11,15200,15000,14.95,26.3,0.05,0.05,False,False,15:25,15:25,40,41.25,41150.0,152.79,40997.21,100,3.0,off,315512.26999999996,1315512.27
2021-02-18,09:15,15219.2,15120.2,21.38,2021-02-18,15300,15100,15.2,17.15,0.05,0.05,False,False,15:25,15:25,40,32.35,32250.0,140.2,32109.8,100,3.0,off,347622.06999999995,1347622.0699999998
2021-02-25,09:15,15114.5,15103.8,23.55,2021-02-25,15200,15000,26.85,15.8,0.05,0.05,False,False,15:25,15:25,40,42.65,42550.0,154.77,42395.23,100,3.0,off,390017.29999999993,1390017.2999999998
2021-03-04,09:15,15029.0,15087.1,23.39,2021-03-04,15150,14950,18.6,36.45,59.95,0.1,True,False,11:45,15:25,40,55.05,-5000.0,198.96,-5198.96,100,3.0,off,384818.3399999999,1384818.3399999999
2021-03-10,09:15,15208.8,15168.1,21.49,2021-03-10,15300,15100,14.05,14.6,0.05,0.05,False,False,15:25,15:25,40,28.65,28550.0,134.97,28415.03,100,3.0,off,413233.3699999999,1413233.3699999999
2021-03-25,09:15,14523.9,14346.4,22.49,2021-03-25,14600,14400,37.0,29.1,0.1,89.55,False,True,15:25,12:01,42,66.1,-24727.5,234.42,-24961.92,100,3.0,off,388271.4499999999,1388271.45
2021-04-01,09:15,14792.5,14866.0,20.51,2021-04-01,14900,14700,19.55,25.85,0.05,0.05,False,False,15:25,15:25,41,45.4,46432.5,160.27,46272.23,100,3.0,off,434543.6799999999,1434543.68
2021-04-08,09:15,14903.9,14877.5,20.05,2021-04-08,15000,14800,15.35,20.5,0.05,0.05,False,False,15:25,15:25,41,35.85,36643.75,146.43,36497.32,100,3.0,off,471040.9999999999,1471041.0
2021-04-15,09:15,14503.5,14589.4,20.89,2021-04-15,14600,14400,28.85,22.4,0.1,68.35,False,True,15:25,11:12,42,51.25,-18060.0,202.47,-18262.47,100,3.0,off,452778.5299999999,1452778.5299999998
2021-04-22,09:15,14161.4,14398.7,23.43,2021-04-22,14250,14050,32.2,38.1,100.05,0.05,True,False,11:49,15:25,43,70.3,-32035.0,249.14,-32284.14,100,3.0,off,420494.3899999999,1420494.39
2021-04-29,09:15,15008.0,14888.6,22.21,2021-04-29,15100,14900,16.85,21.1,0.05,64.4,False,True,15:25,10:36,41,37.95,-27162.5,178.79,-27341.29,100,3.0,off,393153.0999999999,1393153.0999999999
2021-05-06,09:15,14671.3,14733.2,21.78,2021-05-06,14750,14550,21.95,18.3,0.1,0.05,False,False,15:25,15:25,41,40.25,41102.5,152.83,40949.67,100,3.0,off,434102.7699999999,1434102.77
2021-05-12,09:15,14797.0,14698.8,19.75,2021-05-12,14900,14700,11.7,19.45,0.1,2.55,False,False,15:25,15:25,41,31.15,29212.5,140.77,29071.73,100,3.0,off,463174.4999999999,1463174.5
2021-05-20,09:15,15060.9,14920.0,19.03,2021-05-20,15150,14950,11.6,12.7,0.05,39.1,False,True,15:25,14:49,40,24.3,-14850.0,146.18,-14996.18,100,3.0,off,448178.3199999999,1448178.3199999998
2021-05-27,09:15,15314.0,15370.1,20.25,2021-05-27,15400,15200,9.4,14.15,0.15,0.05,False,False,15:25,15:25,40,23.55,23350.0,127.8,23222.2,100,3.0,off,471400.5199999999,1471400.52
2021-06-03,09:15,15663.1,15688.9,15.74,2021-06-03,15750,15550,6.6,9.3,0.05,0.05,False,False,15:25,15:25,39,15.9,15405.0,116.37,15288.63,100,3.0,off,486689.1499999999,1486689.15
2021-06-10,09:15,15684.0,15745.1,14.73,2021-06-10,15800,15600,5.65,17.0,0.05,0.05,False,False,15:25,15:25,39,22.65,21986.25,125.68,21860.57,100,3.0,off,508549.7199999999,1508549.72
2021-06-24,09:15,15729.5,15793.7,15.47,2021-06-24,15850,15650,6.15,24.7,0.05,0.05,False,False,15:25,15:25,39,30.85,29981.25,136.99,29844.26,100,3.0,off,538393.9799999999,1538393.98
2021-07-08,09:15,15868.7,15728.0,12.45,2021-07-08,15950,15750,5.95,6.5,0.05,21.65,False,True,15:25,12:52,38,12.45,-8787.5,120.3,-8907.8,100,3.0,off,529486.1799999998,1529486.1799999997
2021-07-22,09:15,15741.6,15827.7,12.87,2021-07-22,15850,15650,6.55,6.85,0.05,0.05,False,False,15:25,15:25,39,13.4,12967.5,112.93,12854.57,100,3.0,off,542340.7499999998,1542340.7499999998
2021-08-12,09:15,16321.7,16361.4,12.62,2021-08-12,16400,16200,7.15,7.0,0.65,0.1,False,False,15:25,15:25,37,14.15,12395.0,113.22,12281.78,100,3.0,off,554622.5299999998,1554622.5299999998
2021-08-18,09:15,16671.8,16550.4,13.32,2021-08-18,16750,16550,6.1,7.25,0.05,0.15,False,False,15:25,15:25,36,13.35,11835.0,111.48,11723.52,100,3.0,off,566346.0499999998,1566346.0499999998
2021-09-02,09:15,17085.8,17233.8,14.08,2021-09-02,17200,17000,7.65,15.1,23.6,0.05,True,False,14:02,15:25,26,22.75,-585.0,122.15,-707.15,100,3.0,off,565638.8999999998,1565638.9
2021-09-23,09:15,17652.3,17826.3,16.09,2021-09-23,17750,17550,10.45,11.0,31.9,0.1,True,False,12:22,15:25,25,21.45,-6593.75,122.25,-6716.0,100,3.0,off,558922.8999999998,1558922.9
2021-09-30,09:15,17724.0,17608.7,18.71,2021-09-30,17800,17600,20.75,15.6,0.05,0.35,False,False,15:25,15:25,25,36.35,22468.75,126.65,22342.1,100,3.0,off,581264.9999999998,1581264.9999999998
2021-10-07,09:15,17777.2,17797.2,16.46,2021-10-07,17900,17700,10.05,17.85,0.05,0.05,False,False,15:25,15:25,25,27.9,17375.0,119.09,17255.91,100,3.0,off,598520.9099999998,1598520.9099999997
2021-10-14,09:15,18269.2,18339.0,16.11,2021-10-14,18350,18150,7.3,13.6,0.05,0.05,False,False,15:25,15:25,24,20.9,12480.0,112.17,12367.83,100,3.0,off,610888.7399999998,1610888.7399999998
2021-10-21,09:15,18352.2,18219.6,18.14,2021-10-21,18450,18250,16.45,21.2,0.15,65.0,False,True,15:25,10:35,24,37.65,-16500.0,143.73,-16643.73,100,3.0,off,594245.0099999998,1594245.0099999998
2021-10-28,09:15,18152.3,17862.9,17.03,2021-10-28,18250,18050,24.15,24.5,0.1,82.8,False,True,15:25,12:27,24,48.65,-20550.0,157.8,-20707.8,100,3.0,off,573537.2099999997,1573537.2099999997
2021-11-03,09:15,17969.5,17833.0,16.73,2021-11-03,18050,17850,16.65,18.7,0.1,58.8,False,True,15:25,13:13,24,35.35,-14130.0,140.11,-14270.11,100,3.0,off,559267.0999999997,1559267.0999999996
2021-11-11,09:15,17956.5,17885.7,15.74,2021-11-11,18050,17850,18.35,17.85,0.05,58.55,False,True,15:25,10:29,24,36.2,-13440.0,140.76,-13580.76,100,3.0,off,545686.3399999997,1545686.3399999999
2021-11-18,09:15,17909.7,17745.2,14.52,2021-11-18,18000,17800,16.15,17.15,0.1,52.05,False,True,15:25,10:15,24,33.3,-11310.0,136.57,-11446.57,100,3.0,off,534239.7699999998,1534239.7699999998
2021-11-25,09:15,17394.2,17547.0,16.54,2021-11-25,17500,17300,13.85,34.3,46.9,0.05,True,False,11:32,15:25,25,48.15,750.0,150.01,599.99,100,3.0,off,534839.7599999998,1534839.7599999998
2021-12-02,09:15,17176.8,17401.5,19.73,2021-12-02,17300,17100,13.55,46.5,41.3,0.05,True,False,10:15,15:25,23,60.05,10752.5,153.81,10598.69,100,3.0,off,545438.4499999997,1545438.4499999997
2021-12-09,09:15,17523.8,17502.7,16.59,2021-12-09,17600,17400,19.5,17.3,0.05,52.5,False,True,15:25,10:28,22,36.8,-8662.5,135.88,-8798.38,100,3.0,off,536640.0699999997,1536640.0699999998
2021-12-16,09:15,17359.7,17285.6,16.28,2021-12-16,17450,17250,15.8,19.05,0.15,57.55,False,True,15:25,12:04,23,34.85,-13138.75,137.49,-13276.24,100,3.0,off,523363.8299999997,1523363.8299999996
2021-12-23,09:15,17045.9,17051.3,16.22,2021-12-23,17150,16950,12.15,20.1,0.05,0.05,False,False,15:25,15:25,23,32.25,18486.25,120.66,18365.59,100,3.0,off,541729.4199999997,1541729.4199999997
