date,entry_time,spot_at_entry,spot_at_close,vix,expiry,ce_strike,pe_strike,ce_entry_prem,pe_entry_prem,ce_exit_prem,pe_exit_prem,ce_stopped,pe_stopped,ce_exit_time,pe_exit_time,lots_per_leg,total_premium_collected,gross_pnl,total_costs,net_pnl,strike_dist,sl_mult,vix_filter,combo
2020-03-05,09:20,11307.1,11258.0,22.85,2020-03-05,11400,11200,9.9,14.35,0.05,0.1,False,False,15:25,15:25,54,24.25,32535.0,140.8,32394.2,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-03-12,09:20,9974.4,9630.6,30.66,2020-03-12,10050,9850,42.85,32.0,0.15,70.65,False,True,15:25,10:46,61,74.85,6176.25,303.86,5872.39,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-03-19,09:20,7909.6,8267.9,63.5,2020-03-19,8000,7800,85.5,106.0,181.3,0.05,True,False,11:01,15:25,77,191.5,19538.75,771.04,18767.71,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-03-26,09:20,8342.1,8653.5,79.36,2020-03-26,8450,8250,77.4,112.6,163.1,0.1,True,False,09:32,15:25,73,190.0,48910.0,717.29,48192.71,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-04-01,09:20,8494.9,8262.6,64.23,2020-04-01,8600,8400,33.4,57.25,0.05,118.85,False,True,15:25,10:43,72,90.65,-50850.0,420.35,-51270.35,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-04-09,09:20,8992.2,9098.5,50.79,2020-04-09,9100,8900,41.95,61.9,9.75,0.05,False,False,15:25,15:25,68,103.85,159885.0,351.54,159533.46,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-04-16,09:20,8836.9,9016.6,49.51,2020-04-16,8950,8750,25.45,42.25,55.15,0.1,True,False,09:39,15:25,69,67.7,21476.25,301.96,21174.29,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-04-23,09:20,9202.9,9302.9,42.18,2020-04-23,9300,9100,13.6,25.35,27.9,0.05,True,False,12:00,15:25,66,38.95,18150.0,205.81,17944.19,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-04-30,09:20,9748.8,9851.9,32.8,2020-04-30,9850,9650,7.9,15.1,16.35,0.25,True,False,09:32,15:25,63,23.0,10080.0,157.27,9922.73,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-05-07,09:20,9201.5,9213.0,41.52,2020-05-07,9300,9100,17.15,25.4,0.05,0.05,False,False,15:25,15:25,66,42.55,70042.5,193.78,69848.72,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-05-14,09:20,9228.1,9150.2,37.35,2020-05-14,9350,9150,10.6,15.8,0.1,6.8,False,False,15:25,15:25,66,26.4,32175.0,161.07,32013.93,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-05-21,09:20,9094.8,9102.2,34.34,2020-05-21,9200,9000,5.0,8.3,0.1,0.1,False,False,15:25,15:25,67,13.3,21942.5,126.06,21816.44,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-06-04,09:20,10109.1,10030.8,29.12,2020-06-04,10200,10000,9.4,12.9,0.05,28.45,False,True,15:25,09:34,60,22.3,-9300.0,160.72,-9460.72,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-06-11,09:20,10053.9,9910.1,29.41,2020-06-11,10150,9950,12.1,12.9,0.1,26.05,False,True,15:25,14:22,61,25.0,-1753.75,166.06,-1919.81,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-06-18,09:20,9865.6,10091.2,33.42,2020-06-18,9950,9750,8.35,16.4,16.7,0.05,True,False,10:17,15:25,62,24.75,12400.0,160.2,12239.8,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-06-25,09:20,10203.9,10284.4,30.4,2020-06-25,10300,10100,11.7,21.95,23.85,0.1,True,False,09:30,15:25,60,33.65,14550.0,181.77,14368.23,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-07-02,09:20,10515.5,10563.6,27.48,2020-07-02,10600,10400,9.25,10.95,0.05,0.05,False,False,15:25,15:25,58,20.2,29145.0,135.89,29009.11,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-07-09,09:20,10753.8,10833.5,25.82,2020-07-09,10850,10650,7.85,11.05,0.1,0.05,False,False,15:25,15:25,57,18.9,26718.75,132.6,26586.15,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-07-16,09:20,10636.5,10728.0,26.51,2020-07-16,10750,10550,5.8,16.75,0.15,0.1,False,False,15:25,15:25,57,22.55,31777.5,140.02,31637.48,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-08-06,09:20,11156.2,11206.8,23.08,2020-08-06,11250,11050,9.15,14.2,18.3,0.05,True,False,12:25,15:25,55,23.35,6875.0,151.03,6723.97,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-10-15,09:20,11947.2,11672.5,20.36,2020-10-15,12050,11850,5.3,6.9,0.05,13.8,False,True,15:25,11:32,51,12.2,-2103.75,124.26,-2228.01,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-10-22,09:20,11933.5,11902.2,22.9,2020-10-22,12050,11850,6.9,21.1,0.1,42.85,False,True,15:25,09:34,51,28.0,-19061.25,169.24,-19230.49,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-10-29,09:20,11635.7,11670.7,23.42,2020-10-29,11750,11550,11.25,24.75,24.7,0.05,True,False,12:01,15:25,52,36.0,14625.0,174.9,14450.1,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-11-05,09:20,12055.5,12127.6,21.87,2020-11-05,12150,11950,11.3,15.7,0.05,0.05,False,False,15:25,15:25,51,27.0,34297.5,143.15,34154.35,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-11-12,09:20,12721.5,12693.0,21.29,2020-11-12,12800,12600,19.25,12.1,0.05,0.05,False,False,15:25,15:25,48,31.35,37500.0,147.67,37352.33,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-11-26,09:20,12868.9,13015.0,19.76,2020-11-26,12950,12750,16.25,13.1,40.15,0.1,True,False,15:10,15:25,47,29.35,-12807.5,164.21,-12971.71,100,2.0,off,09:20_d100_vixoff_sl2.0
2020-12-10,09:20,13482.2,13481.5,18.19,2020-12-10,13600,13400,5.65,17.7,0.05,41.5,False,True,15:25,09:40,45,23.35,-20475.0,152.34,-20627.34,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-01-14,09:20,14551.1,14597.5,23.48,2021-01-14,14650,14450,7.7,12.0,0.05,24.8,False,True,15:25,09:37,42,19.7,-5407.5,135.26,-5542.76,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-01-28,09:20,13812.5,13819.8,24.64,2021-01-28,13900,13700,26.9,21.5,0.05,0.05,False,False,15:25,15:25,44,48.4,53130.0,169.76,52960.24,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-02-04,09:20,14775.5,14889.5,23.83,2021-02-04,14900,14700,10.3,33.0,22.5,0.1,True,False,14:11,15:25,41,43.3,21217.5,167.48,21050.02,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-02-11,09:20,15113.8,15176.6,24.18,2021-02-11,15200,15000,16.5,22.8,0.05,0.05,False,False,15:25,15:25,40,39.3,39200.0,150.03,39049.97,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-02-18,09:20,15228.4,15120.2,21.38,2021-02-18,15350,15150,5.35,21.95,0.05,53.35,False,True,15:25,12:15,40,27.3,-26100.0,156.75,-26256.75,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-02-25,09:20,15143.9,15103.8,23.55,2021-02-25,15250,15050,13.35,19.9,0.05,0.1,False,False,15:25,15:25,40,33.25,33100.0,141.5,32958.5,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-03-04,09:20,15066.5,15087.1,23.39,2021-03-04,15150,14950,25.0,33.35,50.75,0.1,True,False,11:22,15:25,40,58.35,7500.0,199.54,7300.46,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-03-10,09:20,15206.2,15168.1,21.49,2021-03-10,15300,15100,11.85,13.9,0.05,28.45,False,True,15:25,12:02,40,25.75,-2750.0,143.49,-2893.49,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-03-25,09:20,14467.0,14346.4,22.49,2021-03-25,14550,14350,28.35,23.45,0.1,56.9,False,True,15:25,12:00,42,51.8,-5460.0,197.94,-5657.94,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-04-01,09:20,14800.0,14866.0,20.51,2021-04-01,14900,14700,15.95,19.9,0.05,42.85,False,True,15:25,10:54,41,35.85,-7226.25,165.93,-7392.18,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-04-08,09:20,14932.1,14877.5,20.05,2021-04-08,15050,14850,7.6,19.4,0.05,0.05,False,False,15:25,15:25,41,27.0,27572.5,133.59,27438.91,100,2.0,off,09:20_d100_vixoff_sl2.0
2021-04-15,09:20,14556.4,14589.4,20.89,2021-04-15,14650,14450,18.5,23.4,0.05,48.95,False,True,15:25,09:37,42,41.9,-7455.0,179.5,-7634.5,100,2.0,off,09:20_d100_vixoff_sl2.0
