symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_bars,allocated_capital,trade_pnl_rupees
JPPOWER,2011-01-04,2011-01-05,57.2286,56.6563,3.41,3.15,1.69,-0.01,-0.012,stopped_out,True,1,200000.0,-2400.0
APOLLOTYRE,2011-01-04,2011-01-05,58.8478,58.2593,0.88,1.81,1.66,-0.01,-0.012,stopped_out,True,1,160000.0,-1920.0
MRPL,2011-01-04,2011-01-05,63.7475,63.11,0.6,2.21,2.11,-0.01,-0.012,stopped_out,True,1,128000.0,-1536.0
AVANTIFEED,2011-01-04,2011-01-05,1.9735,1.9537,1.23,6.32,3.38,-0.01,-0.012,stopped_out,True,1,102400.0,-1228.8
BATAINDIA,2011-01-04,2011-01-05,179.0667,177.2761,2.2,7.81,7.59,-0.01,-0.012,stopped_out,True,1,81920.0,-983.04
DEEPAKFERT,2011-01-05,2011-01-06,117.4267,116.2525,1.88,2.61,3.3,-0.01,-0.012,stopped_out,True,1,198386.43,-2380.64
JINDALSAW,2011-01-05,2011-01-10,82.8713,82.0426,2.56,6.65,7.23,-0.01,-0.012,stopped_out,True,3,158709.15,-1904.51
ADANIPORTS,2011-01-05,2011-01-06,145.1033,143.6522,1.95,3.85,5.0,-0.01,-0.012,stopped_out,True,1,126967.32,-1523.61
ZENSARTECH,2011-01-06,2011-01-07,26.977,26.7072,1.18,12.96,2.63,-0.01,-0.012,stopped_out,True,1,165863.75,-1990.37
GRASIM,2011-01-13,2011-01-17,342.7335,339.3062,1.66,2.26,2.03,-0.01,-0.012,stopped_out,True,2,196826.61,-2361.92
RAIN,2011-01-13,2011-01-14,29.356,29.0625,1.39,2.31,1.69,-0.01,-0.012,stopped_out,True,1,157461.29,-1889.54
TCS,2011-01-18,2011-01-19,431.2576,426.945,1.26,2.82,2.43,-0.01,-0.012,stopped_out,True,1,195976.32,-2351.72
SRF,2011-01-20,2011-01-24,56.2339,55.6716,1.2,9.32,6.04,-0.01,-0.012,stopped_out,True,2,195505.97,-2346.07
ZYDUSLIFE,2011-01-21,2011-01-24,149.0995,147.6085,3.62,2.07,1.95,-0.01,-0.012,stopped_out,True,1,156404.78,-1876.86
WOCKPHARMA,2011-01-24,2011-01-25,331.004,327.694,4.66,2.48,4.12,-0.01,-0.012,stopped_out,True,1,194661.39,-2335.94
ASTRAMICRO,2011-01-24,2011-01-25,38.9324,38.5431,6.12,1.59,2.64,-0.01,-0.012,stopped_out,True,1,155729.11,-1868.75
NTPC,2011-01-25,2011-01-27,96.2931,95.3301,1.06,1.81,1.76,-0.01,-0.012,stopped_out,True,1,193820.45,-2325.85
SIEMENS,2011-01-31,2011-02-01,422.1883,417.9665,8.67,9.7,2.89,-0.01,-0.012,stopped_out,True,1,193355.28,-2320.26
BRIGADE,2011-02-04,2011-02-07,62.6808,62.054,2.67,16.43,11.55,-0.01,-0.012,stopped_out,True,1,192891.23,-2314.69
NFL,2011-02-14,2011-02-15,86.3835,85.5197,1.18,2.11,10.86,-0.01,-0.012,stopped_out,True,1,192428.29,-2309.14
MARICO,2011-02-15,2011-02-16,51.6827,51.1658,2.04,2.75,3.18,-0.01,-0.012,stopped_out,True,1,191966.46,-2303.6
ELECON,2011-02-15,2011-02-16,30.5645,33.8114,0.58,2.33,6.51,0.10623,0.10423,take_profit_gap,False,1,153573.17,16006.93
HINDCOPPER,2011-02-16,2011-02-17,277.6134,274.8373,12.66,8.86,2.47,-0.01,-0.012,stopped_out,True,1,194707.13,-2336.49
TANLA,2011-02-17,2011-02-18,19.9003,19.7013,11.19,5.02,2.8,-0.01,-0.012,stopped_out,True,1,194239.83,-2330.88
ICIL,2011-02-17,2011-02-18,2.9753,2.9176,0.97,2.06,4.82,-0.019386,-0.021386,stopped_out_gap,True,1,155391.87,-3323.21
COROMANDEL,2011-02-17,2011-02-18,224.7687,222.521,1.09,3.56,10.69,-0.01,-0.012,stopped_out,True,1,124313.49,-1491.76
THANGAMAYL,2011-02-17,2011-02-21,67.7631,67.0855,2.16,1.59,2.04,-0.01,-0.012,stopped_out,True,2,99450.79,-1193.41
TIMETECHNO,2011-02-17,2011-02-18,23.6621,23.3558,1.05,4.27,10.24,-0.012947,-0.014947,stopped_out_gap,True,1,79560.64,-1189.19
CUB,2011-02-18,2011-02-21,28.6236,28.3373,1.13,2.4,3.72,-0.01,-0.012,stopped_out,True,1,172682.66,-2072.19
MANAPPURAM,2011-02-18,2011-02-21,36.6456,36.2792,10.61,1.58,2.63,-0.01,-0.012,stopped_out,True,1,138146.13,-1657.75
BAJAJELEC,2011-02-18,2011-02-21,185.2786,179.5898,1.08,5.53,2.57,-0.030704,-0.032704,stopped_out_gap,True,1,110516.91,-3614.34
MARUTI,2011-03-01,2011-03-03,1145.4128,1133.9586,1.9,2.47,6.75,-0.01,-0.012,stopped_out,True,1,78178.42,-938.14
VAIBHAVGBL,2011-03-01,2011-03-03,5.0955,5.3503,9.88,10.97,16.86,0.05,0.048,take_profit,False,1,97723.03,4690.71
REDINGTON,2011-03-01,2011-03-03,26.2143,25.9021,0.99,1.83,2.43,-0.011907,-0.013907,stopped_out_gap,True,1,122153.78,-1698.79
COALINDIA,2011-03-01,2011-03-03,113.926,112.7867,5.39,2.1,4.18,-0.01,-0.012,stopped_out,True,1,152692.23,-1832.31
ITC,2011-03-01,2011-03-03,70.5534,69.8479,8.11,1.75,1.64,-0.01,-0.012,stopped_out,True,1,190865.28,-2290.38
JBCHEPHARM,2011-03-03,2011-03-04,39.0296,38.6393,9.5,7.96,6.92,-0.01,-0.012,stopped_out,True,1,190451.5,-2285.42
GMDCLTD,2011-03-03,2011-03-04,83.1214,82.2902,3.75,1.97,1.84,-0.01,-0.012,stopped_out,True,1,152361.2,-1828.33
SUNFLAG,2011-03-03,2011-03-04,26.1675,25.9058,0.95,3.11,5.37,-0.01,-0.012,stopped_out,True,1,121888.96,-1462.67
TRIVENI,2011-03-03,2011-03-04,51.3665,50.8529,4.27,2.07,6.66,-0.01,-0.012,stopped_out,True,1,97511.17,-1170.13
BAJAJFINSV,2011-03-04,2011-03-07,52.9906,48.4814,16.23,13.68,3.02,-0.085094,-0.087094,stopped_out_gap,True,1,189102.19,-16469.67
CANFINHOME,2011-03-04,2011-03-07,17.6197,16.957,0.54,2.37,3.24,-0.037612,-0.039612,stopped_out_gap,True,1,151281.75,-5992.57
GRAVITA,2011-03-07,2011-03-08,50.4548,49.9502,3.08,3.14,4.53,-0.01,-0.012,stopped_out,True,1,184609.74,-2215.32
NESTLEIND,2011-03-08,2011-03-09,159.6543,158.0578,1.68,1.72,1.51,-0.01,-0.012,stopped_out,True,1,184166.68,-2210.0
BSOFT,2011-03-10,2011-03-11,41.6577,43.7406,3.33,4.33,4.15,0.05,0.048,take_profit,False,1,183724.68,8818.78
GOKEX,2011-03-10,2011-03-11,114.4075,120.1279,5.21,17.39,14.5,0.05,0.048,take_profit,False,1,146979.74,7055.03
SHILPAMED,2011-03-10,2011-03-11,42.3818,41.958,2.26,4.04,9.25,-0.01,-0.012,stopped_out,True,1,117583.79,-1411.01
ESCORTS,2011-03-14,2011-03-15,121.2572,117.514,2.95,1.64,4.51,-0.03087,-0.03287,stopped_out_gap,True,1,186617.24,-6134.11
V2RETAIL,2011-03-15,2011-03-16,38.4192,38.035,9.91,13.99,5.64,-0.01,-0.012,stopped_out,True,1,185390.42,-2224.69
CENTRALBK,2011-03-16,2011-03-17,131.6418,130.3254,2.67,4.01,6.43,-0.01,-0.012,stopped_out,True,1,147956.38,-1775.48
VIPIND,2011-03-16,2011-03-17,111.4119,116.9825,5.54,5.23,9.42,0.05,0.048,take_profit,False,1,184945.48,8877.38
HAVELLS,2011-03-17,2011-03-18,62.8081,62.18,1.48,2.21,1.6,-0.01,-0.012,stopped_out,True,1,186365.86,-2236.39
M&MFIN,2011-03-22,2011-03-23,76.329,75.5657,1.12,3.23,6.17,-0.01,-0.012,stopped_out,True,1,185918.58,-2231.02
CENTURYPLY,2011-03-23,2011-03-24,63.3704,62.7367,3.19,3.66,5.11,-0.01,-0.012,stopped_out,True,1,185472.38,-2225.67
HFCL,2011-03-23,2011-03-24,12.6798,12.553,6.51,14.01,8.4,-0.01,-0.012,stopped_out,True,1,148377.9,-1780.53
GODREJIND,2011-03-24,2011-03-28,168.5542,176.9819,1.66,2.26,1.94,0.05,0.048,take_profit,False,2,94551.62,4538.48
