symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_bars,allocated_capital,trade_pnl_rupees
UJJIVANSFB,2026-01-02,2026-01-05,55.7379,58.5247,0.56,2.27,4.33,0.05,0.047,take_profit,False,1,200000.0,9400.0
TORNTPOWER,2026-01-02,2026-01-16,1385.7407,1343.1039,0.9,4.98,5.69,-0.030768,-0.033768,time_exit,False,10,160000.0,-5402.88
VOLTAS,2026-01-02,2026-01-06,1430.9151,1502.4608,0.86,2.19,2.97,0.05,0.047,take_profit,False,2,128000.0,6016.0
SANSERA,2026-01-02,2026-01-16,1871.9355,1841.6787,3.63,3.95,4.23,-0.016163,-0.019163,time_exit,False,10,102400.0,-1962.29
ASHOKLEY,2026-01-02,2026-01-16,188.8744,184.1579,1.86,1.57,2.04,-0.024972,-0.027972,time_exit,False,10,81920.0,-2291.47
UNIONBANK,2026-01-05,2026-01-14,162.4412,170.5632,1.61,2.88,2.76,0.05,0.047,take_profit,False,7,107416.0,5048.55
THANGAMAYL,2026-01-06,2026-01-07,3488.7435,3663.1807,2.39,2.37,3.78,0.05,0.047,take_profit,False,1,112736.0,5298.59
NATCOPHARM,2026-01-07,2026-01-12,944.9681,878.8203,1.24,1.85,1.69,-0.07,-0.073,stopped_out,True,3,113795.72,-8307.09
AIIL,2026-01-13,2026-01-16,668.234,621.4576,1.45,5.1,2.74,-0.07,-0.073,stopped_out,True,2,112134.3,-8185.8
MCX,2026-01-14,2026-01-22,2418.2085,2248.9339,1.53,2.16,4.9,-0.07,-0.073,stopped_out,True,6,112200.35,-8190.63
ANGELONE,2026-01-16,2026-01-21,270.9783,252.0098,1.9,5.17,6.34,-0.07,-0.073,stopped_out,True,3,177482.65,-12956.23
INFY,2026-01-16,2026-02-02,1690.6449,1628.5853,2.28,2.71,1.57,-0.036708,-0.039708,time_exit,False,10,141986.12,-5637.98
INDIAMART,2026-01-16,2026-02-02,2290.1445,2208.995,2.59,9.69,3.5,-0.035434,-0.038434,time_exit,False,10,113588.9,-4365.68
RBLBANK,2026-01-16,2026-01-19,324.7623,302.0289,0.72,2.99,3.05,-0.07,-0.073,stopped_out,True,1,90871.12,-6633.59
TECHM,2026-01-19,2026-02-03,1719.1592,1844.0775,5.09,6.28,1.67,0.072662,0.069662,take_profit_gap,False,10,89544.4,6237.84
CREDITACC,2026-01-22,2026-01-27,1450.5249,1348.9882,5.56,5.85,5.9,-0.07,-0.073,stopped_out,True,2,125342.75,-9150.02
KARURVYSYA,2026-01-27,2026-02-03,292.6963,313.843,2.67,10.16,7.56,0.072248,0.069248,take_profit_gap,False,5,123512.74,8553.01
HOMEFIRST,2026-01-27,2026-01-28,1252.3258,1164.663,4.4,10.16,11.36,-0.07,-0.073,stopped_out,True,1,98810.2,-7213.14
GRSE,2026-01-28,2026-01-29,2512.9851,2638.6344,3.21,2.28,4.67,0.05,0.047,take_profit,False,1,97367.57,4576.28
COALINDIA,2026-01-29,2026-02-02,450.0287,413.3265,3.51,1.6,2.19,-0.081555,-0.084555,stopped_out_gap,True,2,98282.82,-8310.3
LATENTVIEW,2026-02-02,2026-02-03,457.4286,480.3,3.34,15.96,7.58,0.05,0.047,take_profit,False,1,145735.03,6849.55
ANANTRAJ,2026-02-02,2026-02-03,558.4791,586.4031,6.8,7.68,3.75,0.05,0.047,take_profit,False,1,116588.03,5479.64
GARFIBRES,2026-02-03,2026-02-06,744.472,692.359,3.31,5.06,4.14,-0.07,-0.073,stopped_out,True,3,193770.47,-14145.24
PCBL,2026-02-03,2026-02-04,299.8999,278.9069,6.45,12.71,4.44,-0.07,-0.073,stopped_out,True,1,155016.38,-11316.2
SIEMENS,2026-02-03,2026-02-17,3213.3058,3184.8067,1.45,1.7,1.64,-0.008869,-0.011869,time_exit,False,10,124013.1,-1471.91
