symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_bars,allocated_capital,trade_pnl_rupees
POWERGRID,2026-02-03,2026-02-10,280.1961,294.2059,4.01,3.09,2.59,0.05,0.047,take_profit,False,5,99210.48,4662.89
ADANIENT,2026-02-03,2026-02-17,2203.7014,2241.7785,4.63,3.74,2.45,0.017279,0.014279,time_exit,False,10,79368.38,1133.3
VARROC,2026-02-04,2026-02-06,614.207,571.2125,0.77,3.55,3.21,-0.07,-0.073,stopped_out,True,2,92234.74,-6733.14
LICI,2026-02-06,2026-02-20,902.3009,872.8633,0.73,9.57,6.42,-0.032625,-0.035625,time_exit,False,10,101450.53,-3614.18
POWERINDIA,2026-02-06,2026-02-12,21881.9355,22976.0323,3.61,3.76,4.65,0.05,0.047,take_profit,False,4,126813.16,5960.22
BSE,2026-02-10,2026-02-16,3175.7871,2808.595,5.31,3.71,2.06,-0.115622,-0.118622,stopped_out_gap,True,4,101935.1,-12091.75
NAM-INDIA,2026-02-12,2026-02-26,965.9327,943.1782,0.65,1.54,2.27,-0.023557,-0.026557,time_exit,False,10,108102.75,-2870.88
SIGNATURE,2026-02-16,2026-02-20,1099.0492,1022.1158,6.98,1.73,2.19,-0.07,-0.073,stopped_out,True,4,104450.87,-7624.91
AKUMS,2026-02-17,2026-03-04,490.195,466.9664,3.68,5.23,1.65,-0.047386,-0.050386,time_exit,False,10,124169.27,-6256.39
SWSOLAR,2026-02-17,2026-02-25,217.0985,201.9016,0.71,2.99,6.89,-0.07,-0.073,stopped_out,True,6,99335.42,-7251.49
TATAINVEST,2026-02-20,2026-02-25,707.4535,657.9318,2.8,6.39,2.48,-0.07,-0.073,stopped_out,True,3,118400.8,-8643.26
KRN,2026-02-23,2026-02-25,921.4605,967.5335,7.97,6.62,2.71,0.05,0.047,take_profit,False,2,94720.64,4451.87
POLYCAB,2026-02-25,2026-03-10,8352.6742,7767.9871,1.41,2.71,2.81,-0.07,-0.073,stopped_out,True,8,108783.45,-7941.19
SAIL,2026-02-25,2026-03-04,165.0125,153.4616,0.72,2.6,2.09,-0.07,-0.073,stopped_out,True,4,135979.31,-9926.49
FORTIS,2026-02-26,2026-03-06,964.1318,896.6426,1.25,1.9,3.05,-0.07,-0.073,stopped_out,True,5,86458.5,-6311.47
DIACABS,2026-02-26,2026-03-02,140.4102,129.3353,2.02,2.99,1.71,-0.078875,-0.081875,stopped_out_gap,True,2,108073.13,-8848.49
PARAS,2026-03-04,2026-03-05,721.4105,757.481,7.16,10.02,2.86,0.05,0.047,take_profit,False,1,137804.87,6476.83
SOLARINDS,2026-03-04,2026-03-06,14530.2615,15256.7746,1.28,4.49,2.82,0.05,0.047,take_profit,False,2,110243.9,5181.46
JSWINFRA,2026-03-06,2026-03-16,268.9344,250.109,3.73,3.17,2.83,-0.07,-0.073,stopped_out,True,6,156165.94,-11400.11
MAZDOCK,2026-03-06,2026-03-16,2473.1359,2300.0163,6.62,6.77,3.72,-0.07,-0.073,stopped_out,True,6,124932.75,-9120.09
DATAPATTNS,2026-03-06,2026-03-12,3492.9456,3248.4394,2.71,2.18,3.6,-0.07,-0.073,stopped_out,True,4,99946.2,-7296.07
BELRISE,2026-03-06,2026-03-13,197.2986,183.4877,1.08,3.1,4.56,-0.07,-0.073,stopped_out,True,5,79956.96,-5836.86
PREMIERENE,2026-03-11,2026-03-17,788.494,827.9187,2.97,2.26,5.22,0.05,0.047,take_profit,False,4,84134.02,3954.3
CEATLTD,2026-03-12,2026-03-13,3808.4032,3541.815,0.61,4.05,8.48,-0.07,-0.073,stopped_out,True,1,85837.24,-6266.12
ZYDUSWELL,2026-03-16,2026-03-25,425.9129,447.2085,3.55,6.6,1.84,0.05,0.047,take_profit,False,7,151523.73,7121.62
CHENNPETRO,2026-03-17,2026-03-24,1057.2074,983.2029,1.86,3.54,8.57,-0.07,-0.073,stopped_out,True,5,138836.65,-10135.08
SHAILY,2026-03-18,2026-03-20,2352.4757,2470.0995,12.54,3.61,2.6,0.05,0.047,take_profit,False,2,111069.32,5220.26
WAAREEENER,2026-03-18,2026-04-06,3186.3924,3083.1576,2.5,2.86,10.2,-0.032399,-0.035399,time_exit,False,10,88855.46,-3145.39
ATHERENERG,2026-03-19,2026-03-20,754.6771,792.411,0.8,3.57,1.91,0.05,0.047,take_profit,False,1,71084.36,3340.97
ACI,2026-03-23,2026-04-02,612.4561,569.5842,0.62,2.56,2.24,-0.07,-0.073,stopped_out,True,6,95010.47,-6935.76
ASKAUTOLTD,2026-03-25,2026-04-13,444.3721,435.2822,0.67,3.0,5.8,-0.020455,-0.023455,time_exit,False,10,133477.76,-3130.72
TRIVENI,2026-03-25,2026-03-30,407.6037,379.0714,4.94,12.54,9.19,-0.07,-0.073,stopped_out,True,2,106782.21,-7795.1
INOXINDIA,2026-03-25,2026-03-30,1239.4194,1152.6601,2.19,2.27,2.48,-0.07,-0.073,stopped_out,True,2,85425.77,-6236.08
RENUKA,2026-03-30,2026-04-01,27.5138,28.8894,2.23,4.31,4.13,0.05,0.047,take_profit,False,1,103975.97,4886.87
GANECOS,2026-04-01,2026-04-02,1022.7111,1073.8467,7.37,4.08,7.6,0.05,0.047,take_profit,False,1,104953.35,4932.81
CARBORUNIV,2026-04-02,2026-04-10,854.427,897.1484,0.75,5.07,6.85,0.05,0.047,take_profit,False,5,98843.88,4645.66
EIEL,2026-04-02,2026-04-09,168.2041,176.6143,5.24,1.84,8.14,0.05,0.047,take_profit,False,4,123554.85,5807.08
KALYANKJIL,2026-04-06,2026-04-08,420.5602,441.5882,0.66,3.4,6.42,0.05,0.047,take_profit,False,2,96217.12,4522.2
TRENT,2026-04-06,2026-04-16,3835.5169,4027.2927,2.68,4.14,5.47,0.05,0.047,take_profit,False,7,76973.69,3617.76
AXISBANK,2026-04-08,2026-04-23,1333.6665,1368.9152,4.02,1.54,2.53,0.02643,0.02343,time_exit,False,10,81726.82,1914.86
HFCL,2026-04-09,2026-04-10,79.6498,83.6323,1.81,2.97,5.6,0.05,0.047,take_profit,False,1,91253.84,4288.93
COHANCE,2026-04-10,2026-04-15,378.0889,351.6227,2.19,15.08,17.51,-0.07,-0.073,stopped_out,True,2,112809.54,-8235.1
RTNINDIA,2026-04-10,2026-04-15,32.8364,34.4782,1.34,1.7,1.74,0.05,0.047,take_profit,False,2,90247.63,4241.64
SONACOMS,2026-04-13,2026-04-28,569.5846,598.0639,0.72,2.08,3.56,0.05,0.047,take_profit,False,10,98267.51,4618.57
RAILTEL,2026-04-15,2026-04-16,336.8984,353.7433,2.05,14.54,12.23,0.05,0.047,take_profit,False,1,94741.4,4452.85
PURVA,2026-04-15,2026-04-20,232.8063,216.5099,9.57,7.53,2.27,-0.07,-0.073,stopped_out,True,3,118426.75,-8645.15
IGIL,2026-04-16,2026-04-30,369.1345,343.2951,5.06,2.28,2.29,-0.07,-0.073,stopped_out,True,10,111750.26,-8157.77
GREENPANEL,2026-04-16,2026-04-24,219.4497,204.0882,0.93,2.88,2.02,-0.07,-0.073,stopped_out,True,6,89400.21,-6526.22
JYOTHYLAB,2026-04-20,2026-04-22,242.9414,255.0885,2.31,1.91,1.6,0.05,0.047,take_profit,False,2,93476.49,4393.39
HINDUNILVR,2026-04-22,2026-05-04,2369.9844,2308.1454,2.47,2.19,2.53,-0.026093,-0.029093,time_exit,False,8,94355.17,-2745.07
OFSS,2026-04-23,2026-04-27,8795.8958,9235.6905,1.15,7.61,4.29,0.05,0.047,take_profit,False,2,92212.47,4333.99
DRREDDY,2026-04-24,2026-05-04,1317.7585,1286.5564,5.03,1.82,1.86,-0.023678,-0.026678,time_exit,False,6,90344.77,-2410.22
VIJAYA,2026-04-27,2026-05-04,1112.6061,1168.2364,2.4,1.85,2.97,0.05,0.047,take_profit,False,4,91585.11,4304.5
NHPC,2026-04-28,2026-05-04,85.4227,83.2384,1.05,1.62,2.61,-0.025571,-0.028571,time_exit,False,4,93845.3,-2681.25
IKS,2026-04-30,2026-05-04,1655.5273,1677.8606,0.65,2.85,5.94,0.01349,0.01049,time_exit,False,1,95794.74,1004.89
