symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_bars,allocated_capital,trade_pnl_rupees
UJJIVANSFB,2026-01-02,2026-01-05,55.7379,58.5247,0.56,2.27,4.33,0.05,0.048,take_profit,False,1,200000.0,9600.0
TORNTPOWER,2026-01-02,2026-01-16,1385.7407,1343.1039,0.9,4.98,5.69,-0.030768,-0.032768,time_exit,False,10,160000.0,-5242.88
VOLTAS,2026-01-02,2026-01-06,1430.9151,1502.4608,0.86,2.19,2.97,0.05,0.048,take_profit,False,2,128000.0,6144.0
SANSERA,2026-01-02,2026-01-16,1871.9355,1841.6787,3.63,3.95,4.23,-0.016163,-0.018163,time_exit,False,10,102400.0,-1859.89
ASHOKLEY,2026-01-02,2026-01-16,188.8744,184.1579,1.86,1.57,2.04,-0.024972,-0.026972,time_exit,False,10,81920.0,-2209.55
UNIONBANK,2026-01-05,2026-01-14,162.4412,170.5632,1.61,2.88,2.76,0.05,0.048,take_profit,False,7,107456.0,5157.89
THANGAMAYL,2026-01-06,2026-01-07,3488.7435,3663.1807,2.39,2.37,3.78,0.05,0.048,take_profit,False,1,112793.6,5414.09
NATCOPHARM,2026-01-07,2026-01-12,944.9681,878.8203,1.24,1.85,1.69,-0.07,-0.072,stopped_out,True,3,113876.42,-8199.1
AIIL,2026-01-13,2026-01-16,668.234,621.4576,1.45,5.1,2.74,-0.07,-0.072,stopped_out,True,2,112236.6,-8081.04
MCX,2026-01-14,2026-01-22,2418.2085,2248.9339,1.53,2.16,4.9,-0.07,-0.072,stopped_out,True,6,112312.06,-8086.47
ANGELONE,2026-01-16,2026-01-21,270.9783,252.0098,1.9,5.17,6.34,-0.07,-0.072,stopped_out,True,3,177682.29,-12793.13
INFY,2026-01-16,2026-02-02,1690.6449,1628.5853,2.28,2.71,1.57,-0.036708,-0.038708,time_exit,False,10,142145.84,-5502.18
INDIAMART,2026-01-16,2026-02-02,2290.1445,2208.995,2.59,9.69,3.5,-0.035434,-0.037434,time_exit,False,10,113716.67,-4256.87
RBLBANK,2026-01-16,2026-01-19,324.7623,302.0289,0.72,2.99,3.05,-0.07,-0.072,stopped_out,True,1,90973.33,-6550.08
TECHM,2026-01-19,2026-02-03,1719.1592,1844.0775,5.09,6.28,1.67,0.072662,0.070662,take_profit_gap,False,10,89663.32,6335.79
CREDITACC,2026-01-22,2026-01-27,1450.5249,1348.9882,5.56,5.85,5.9,-0.07,-0.072,stopped_out,True,2,125553.61,-9039.86
KARURVYSYA,2026-01-27,2026-02-03,292.6963,313.843,2.67,10.16,7.56,0.072248,0.070248,take_profit_gap,False,5,123745.63,8692.88
HOMEFIRST,2026-01-27,2026-01-28,1252.3258,1164.663,4.4,10.16,11.36,-0.07,-0.072,stopped_out,True,1,98996.51,-7127.75
GRSE,2026-01-28,2026-01-29,2512.9851,2638.6344,3.21,2.28,4.67,0.05,0.048,take_profit,False,1,97570.96,4683.41
COALINDIA,2026-01-29,2026-02-02,450.0287,413.3265,3.51,1.6,2.19,-0.081555,-0.083555,stopped_out_gap,True,2,98507.64,-8230.81
LATENTVIEW,2026-02-02,2026-02-03,457.4286,480.3,3.34,15.96,7.58,0.05,0.048,take_profit,False,1,146082.17,7011.94
ANANTRAJ,2026-02-02,2026-02-03,558.4791,586.4031,6.8,7.68,3.75,0.05,0.048,take_profit,False,1,116865.73,5609.56
GARFIBRES,2026-02-03,2026-02-06,744.472,692.359,3.31,5.06,4.14,-0.07,-0.072,stopped_out,True,3,194293.99,-13989.17
PCBL,2026-02-03,2026-02-04,299.8999,278.9069,6.45,12.71,4.44,-0.07,-0.072,stopped_out,True,1,155435.19,-11191.33
SIEMENS,2026-02-03,2026-02-17,3213.3058,3184.8067,1.45,1.7,1.64,-0.008869,-0.010869,time_exit,False,10,124348.16,-1351.54
POWERGRID,2026-02-03,2026-02-10,280.1961,294.2059,4.01,3.09,2.59,0.05,0.048,take_profit,False,5,99478.52,4774.97
ADANIENT,2026-02-03,2026-02-17,2203.7014,2241.7785,4.63,3.74,2.45,0.017279,0.015279,time_exit,False,10,79582.82,1215.95
VARROC,2026-02-04,2026-02-06,614.207,571.2125,0.77,3.55,3.21,-0.07,-0.072,stopped_out,True,2,92515.03,-6661.08
LICI,2026-02-06,2026-02-20,902.3009,872.8633,0.73,9.57,6.42,-0.032625,-0.034625,time_exit,False,10,101795.02,-3524.65
POWERINDIA,2026-02-06,2026-02-12,21881.9355,22976.0323,3.61,3.76,4.65,0.05,0.048,take_profit,False,4,127243.78,6107.7
BSE,2026-02-10,2026-02-16,3175.7871,2808.595,5.31,3.71,2.06,-0.115622,-0.117622,stopped_out_gap,True,4,102286.72,-12031.17
NAM-INDIA,2026-02-12,2026-02-26,965.9327,943.1782,0.65,1.54,2.27,-0.023557,-0.025557,time_exit,False,10,108499.67,-2772.93
SIGNATURE,2026-02-16,2026-02-20,1099.0492,1022.1158,6.98,1.73,2.19,-0.07,-0.072,stopped_out,True,4,104850.84,-7549.26
AKUMS,2026-02-17,2026-03-04,490.195,466.9664,3.68,5.23,1.65,-0.047386,-0.049386,time_exit,False,10,124639.75,-6155.46
SWSOLAR,2026-02-17,2026-02-25,217.0985,201.9016,0.71,2.99,6.89,-0.07,-0.072,stopped_out,True,6,99711.8,-7179.25
TATAINVEST,2026-02-20,2026-02-25,707.4535,657.9318,2.8,6.39,2.48,-0.07,-0.072,stopped_out,True,3,118883.83,-8559.64
KRN,2026-02-23,2026-02-25,921.4605,967.5335,7.97,6.62,2.71,0.05,0.048,take_profit,False,2,95107.07,4565.14
POLYCAB,2026-02-25,2026-03-10,8352.6742,7767.9871,1.41,2.71,2.81,-0.07,-0.072,stopped_out,True,8,109273.15,-7867.67
SAIL,2026-02-25,2026-03-04,165.0125,153.4616,0.72,2.6,2.09,-0.07,-0.072,stopped_out,True,4,136591.44,-9834.58
FORTIS,2026-02-26,2026-03-06,964.1318,896.6426,1.25,1.9,3.05,-0.07,-0.072,stopped_out,True,5,86851.1,-6253.28
DIACABS,2026-02-26,2026-03-02,140.4102,129.3353,2.02,2.99,1.71,-0.078875,-0.080875,stopped_out_gap,True,2,108563.87,-8780.1
PARAS,2026-03-04,2026-03-05,721.4105,757.481,7.16,10.02,2.86,0.05,0.048,take_profit,False,1,138485.86,6647.32
SOLARINDS,2026-03-04,2026-03-06,14530.2615,15256.7746,1.28,4.49,2.82,0.05,0.048,take_profit,False,2,110788.69,5317.86
JSWINFRA,2026-03-06,2026-03-16,268.9344,250.109,3.73,3.17,2.83,-0.07,-0.072,stopped_out,True,6,156998.46,-11303.89
MAZDOCK,2026-03-06,2026-03-16,2473.1359,2300.0163,6.62,6.77,3.72,-0.07,-0.072,stopped_out,True,6,125598.77,-9043.11
DATAPATTNS,2026-03-06,2026-03-12,3492.9456,3248.4394,2.71,2.18,3.6,-0.07,-0.072,stopped_out,True,4,100479.02,-7234.49
BELRISE,2026-03-06,2026-03-13,197.2986,183.4877,1.08,3.1,4.56,-0.07,-0.072,stopped_out,True,5,80383.21,-5787.59
PREMIERENE,2026-03-11,2026-03-17,788.494,827.9187,2.97,2.26,5.22,0.05,0.048,take_profit,False,4,84587.67,4060.21
CEATLTD,2026-03-12,2026-03-13,3808.4032,3541.815,0.61,4.05,8.48,-0.07,-0.072,stopped_out,True,1,86319.04,-6214.97
ZYDUSWELL,2026-03-16,2026-03-25,425.9129,447.2085,3.55,6.6,1.84,0.05,0.048,take_profit,False,7,152445.21,7317.37
CHENNPETRO,2026-03-17,2026-03-24,1057.2074,983.2029,1.86,3.54,8.57,-0.07,-0.072,stopped_out,True,5,139685.75,-10057.37
SHAILY,2026-03-18,2026-03-20,2352.4757,2470.0995,12.54,3.61,2.6,0.05,0.048,take_profit,False,2,111748.6,5363.93
WAAREEENER,2026-03-18,2026-04-06,3186.3924,3083.1576,2.5,2.86,10.2,-0.032399,-0.034399,time_exit,False,10,89398.88,-3075.23
ATHERENERG,2026-03-19,2026-03-20,754.6771,792.411,0.8,3.57,1.91,0.05,0.048,take_profit,False,1,71519.1,3432.92
ACI,2026-03-23,2026-04-02,612.4561,569.5842,0.62,2.56,2.24,-0.07,-0.072,stopped_out,True,6,95628.19,-6885.23
ASKAUTOLTD,2026-03-25,2026-04-13,444.3721,435.2822,0.67,3.0,5.8,-0.020455,-0.022455,time_exit,False,10,134380.74,-3017.52
TRIVENI,2026-03-25,2026-03-30,407.6037,379.0714,4.94,12.54,9.19,-0.07,-0.072,stopped_out,True,2,107504.6,-7740.33
INOXINDIA,2026-03-25,2026-03-30,1239.4194,1152.6601,2.19,2.27,2.48,-0.07,-0.072,stopped_out,True,2,86003.68,-6192.26
RENUKA,2026-03-30,2026-04-01,27.5138,28.8894,2.23,4.31,4.13,0.05,0.048,take_profit,False,1,104718.08,5026.47
GANECOS,2026-04-01,2026-04-02,1022.7111,1073.8467,7.37,4.08,7.6,0.05,0.048,take_profit,False,1,105723.37,5074.72
CARBORUNIV,2026-04-02,2026-04-10,854.427,897.1484,0.75,5.07,6.85,0.05,0.048,take_profit,False,5,99589.53,4780.3
EIEL,2026-04-02,2026-04-09,168.2041,176.6143,5.24,1.84,8.14,0.05,0.048,take_profit,False,4,124486.91,5975.37
KALYANKJIL,2026-04-06,2026-04-08,420.5602,441.5882,0.66,3.4,6.42,0.05,0.048,take_profit,False,2,96936.35,4652.94
TRENT,2026-04-06,2026-04-16,3835.5169,4027.2927,2.68,4.14,5.47,0.05,0.048,take_profit,False,7,77549.08,3722.36
AXISBANK,2026-04-08,2026-04-23,1333.6665,1368.9152,4.02,1.54,2.53,0.02643,0.02443,time_exit,False,10,82357.12,2011.98
HFCL,2026-04-09,2026-04-10,79.6498,83.6323,1.81,2.97,5.6,0.05,0.048,take_profit,False,1,91978.15,4414.95
COHANCE,2026-04-10,2026-04-15,378.0889,351.6227,2.19,15.08,17.51,-0.07,-0.072,stopped_out,True,2,113735.11,-8188.93
RTNINDIA,2026-04-10,2026-04-15,32.8364,34.4782,1.34,1.7,1.74,0.05,0.048,take_profit,False,2,90988.09,4367.43
SONACOMS,2026-04-13,2026-04-28,569.5846,598.0639,0.72,2.08,3.56,0.05,0.048,take_profit,False,10,99063.11,4755.03
