symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_bars,allocated_capital,trade_pnl_rupees
RAILTEL,2026-04-15,2026-04-16,336.8984,353.7433,2.05,14.54,12.23,0.05,0.048,take_profit,False,1,95544.66,4586.14
PURVA,2026-04-15,2026-04-20,232.8063,216.5099,9.57,7.53,2.27,-0.07,-0.072,stopped_out,True,3,119430.83,-8599.02
IGIL,2026-04-16,2026-04-30,369.1345,343.2951,5.06,2.28,2.29,-0.07,-0.072,stopped_out,True,10,112716.18,-8115.57
GREENPANEL,2026-04-16,2026-04-24,219.4497,204.0882,0.93,2.88,2.02,-0.07,-0.072,stopped_out,True,6,90172.94,-6492.45
JYOTHYLAB,2026-04-20,2026-04-22,242.9414,255.0885,2.31,1.91,1.6,0.05,0.048,take_profit,False,2,94304.72,4526.63
HINDUNILVR,2026-04-22,2026-05-04,2369.9844,2308.1454,2.47,2.19,2.53,-0.026093,-0.028093,time_exit,False,8,95210.04,-2674.74
OFSS,2026-04-23,2026-04-27,8795.8958,9235.6905,1.15,7.61,4.29,0.05,0.048,take_profit,False,2,93041.86,4466.01
DRREDDY,2026-04-24,2026-05-04,1317.7585,1286.5564,5.03,1.82,1.86,-0.023678,-0.025678,time_exit,False,6,91169.58,-2341.05
VIJAYA,2026-04-27,2026-05-04,1112.6061,1168.2364,2.4,1.85,2.97,0.05,0.048,take_profit,False,4,92437.24,4436.99
NHPC,2026-04-28,2026-05-04,85.4227,83.2384,1.05,1.62,2.61,-0.025571,-0.027571,time_exit,False,4,94713.42,-2611.34
IKS,2026-04-30,2026-05-04,1655.5273,1677.8606,0.65,2.85,5.94,0.01349,0.01149,time_exit,False,1,96690.86,1110.98
