,type,combo,total_candles,total_spikes,spike_rate_pct,long_spikes,short_spikes,long_pct,short_pct,avg_spike_vol,avg_normal_vol,avg_rvol,spike_by_hour,spike_by_day,consecutive,max_consecutive
0,ratio,WINDOW_375_THRESH_8.0,13106,47,0.3586143750953762,19,28,40.42553191489361,59.57446808510638,20461.617021276597,1539.997626158205,6.303779181591,"{19: 18, 15: 6, 18: 6, 11: 4, 17: 4, 13: 3, 14: 3, 12: 2, 7: 1}","{'Wednesday': 13, 'Tuesday': 11, 'Thursday': 9, 'Friday': 8, 'Monday': 6}","{1: 41, 2: 3}",2
1,rvol,WINDOW_375_THRESH_8.0,13106,22,0.16786204791698459,9,13,40.909090909090914,59.09090909090909,19376.0,1577.9771476612657,12.790061812907176,"{23: 6, 19: 4, 5: 2, 17: 2, 20: 2, 2: 1, 6: 1, 7: 1, 10: 1, 18: 1, 21: 1}","{'Sunday': 6, 'Monday': 5, 'Tuesday': 5, 'Thursday': 4, 'Wednesday': 2}","{1: 13, 2: 3, 3: 1}",3
2,zscore,WINDOW_375_THRESH_8.0,13106,20,0.15260186174271326,9,11,45.0,55.00000000000001,28863.0,1566.1978450252177,8.561719831433411,"{19: 9, 15: 3, 13: 2, 18: 2, 7: 1, 11: 1, 14: 1, 17: 1}","{'Tuesday': 7, 'Thursday': 5, 'Monday': 3, 'Wednesday': 3, 'Friday': 2}",{1: 20},1
3,ratio,WINDOW_375_THRESH_3.0,13106,642,4.898519761941095,297,345,46.26168224299065,53.73831775700935,7690.699376947041,1294.53594351733,2.465523863329337,"{14: 137, 15: 93, 19: 78, 13: 65, 18: 60, 16: 55, 17: 36, 12: 33, 11: 26, 20: 15, 10: 15, 9: 14, 8: 6, 7: 3, 23: 2, 4: 1, 6: 1, 21: 1, 3: 1}","{'Thursday': 168, 'Wednesday': 155, 'Tuesday': 147, 'Friday': 97, 'Monday': 73, 'Sunday': 2}","{1: 290, 2: 75, 3: 23, 4: 8, 5: 5, 6: 3, 9: 3, 13: 1, 10: 1, 8: 1}",13
4,rvol,WINDOW_375_THRESH_3.0,13106,315,2.4034793224477338,151,164,47.93650793650794,52.06349206349207,8533.653968253968,1437.2937221483855,4.88955919378698,"{19: 52, 20: 30, 23: 23, 3: 17, 10: 16, 2: 14, 6: 14, 11: 14, 5: 13, 9: 13, 22: 12, 14: 11, 12: 11, 1: 11, 17: 9, 18: 9, 7: 9, 0: 9, 4: 8, 15: 7, 21: 5, 16: 4, 8: 3, 13: 1}","{'Monday': 105, 'Tuesday': 63, 'Thursday': 50, 'Wednesday': 40, 'Sunday': 30, 'Friday': 27}","{1: 108, 2: 35, 3: 14, 4: 5, 10: 1, 6: 1, 14: 1, 21: 1, 19: 1, 5: 1}",21
5,zscore,WINDOW_375_THRESH_3.0,13106,220,1.678620479169846,107,113,48.63636363636364,51.36363636363637,12190.181818181818,1427.1833773087071,3.640244055086863,"{14: 39, 19: 35, 18: 32, 15: 30, 13: 21, 17: 15, 12: 13, 11: 9, 16: 8, 20: 8, 9: 4, 10: 3, 7: 2, 6: 1}","{'Thursday': 63, 'Tuesday': 54, 'Wednesday': 44, 'Monday': 30, 'Friday': 29}","{1: 138, 2: 17, 3: 8, 4: 2, 5: 2, 6: 1}",6
6,ratio,WINDOW_200_THRESH_8.0,13106,115,0.8774607050206014,57,58,49.56521739130435,50.43478260869565,12786.539130434783,1508.8963898083289,3.6652538050142343,"{14: 38, 19: 18, 15: 17, 13: 14, 18: 8, 11: 6, 17: 6, 12: 5, 7: 1, 10: 1, 16: 1}","{'Wednesday': 34, 'Thursday': 28, 'Tuesday': 21, 'Friday': 19, 'Monday': 13}","{1: 89, 2: 7, 3: 4}",3
7,rvol,WINDOW_200_THRESH_8.0,13106,22,0.16786204791698459,9,13,40.909090909090914,59.09090909090909,19376.0,1577.9771476612657,12.790061812907176,"{23: 6, 19: 4, 5: 2, 17: 2, 20: 2, 2: 1, 6: 1, 7: 1, 10: 1, 18: 1, 21: 1}","{'Sunday': 6, 'Monday': 5, 'Tuesday': 5, 'Thursday': 4, 'Wednesday': 2}","{1: 13, 2: 3, 3: 1}",3
8,zscore,WINDOW_200_THRESH_8.0,13106,30,0.22890279261406987,13,17,43.333333333333336,56.666666666666664,23135.366666666665,1558.4631385744876,6.612664503242451,"{19: 7, 13: 5, 14: 5, 18: 4, 15: 3, 17: 3, 7: 1, 11: 1, 12: 1}","{'Thursday': 8, 'Tuesday': 7, 'Wednesday': 6, 'Friday': 5, 'Monday': 4}",{1: 30},1
9,ratio,WINDOW_200_THRESH_3.0,13106,1225,9.346864031741188,606,619,49.46938775510204,50.53061224489795,5597.027755102041,1196.54625031563,1.7109405662033577,"{14: 303, 13: 218, 15: 213, 16: 113, 19: 83, 18: 74, 12: 62, 17: 62, 11: 32, 10: 19, 9: 18, 20: 15, 8: 6, 23: 2, 7: 2, 6: 1, 21: 1, 3: 1}","{'Thursday': 309, 'Wednesday': 277, 'Tuesday': 271, 'Friday': 227, 'Monday': 139, 'Sunday': 2}","{1: 369, 2: 116, 3: 43, 4: 26, 5: 17, 6: 11, 10: 6, 9: 5, 13: 3, 15: 2, 8: 2, 7: 2, 16: 1, 20: 1}",20
