,type,combo,total_candles,total_spikes,spike_rate_pct,long_spikes,short_spikes,long_pct,short_pct,avg_spike_vol,avg_normal_vol,avg_rvol,spike_by_hour,spike_by_day,consecutive,max_consecutive
0,ratio,WINDOW_375_THRESH_3.0,13106,642,4.898519761941095,297,345,46.26168224299065,53.73831775700935,7690.699376947041,1294.53594351733,2.465523863329337,"{14: 137, 15: 93, 19: 78, 13: 65, 18: 60, 16: 55, 17: 36, 12: 33, 11: 26, 20: 15, 10: 15, 9: 14, 8: 6, 7: 3, 23: 2, 4: 1, 6: 1, 21: 1, 3: 1}","{'Thursday': 168, 'Wednesday': 155, 'Tuesday': 147, 'Friday': 97, 'Monday': 73, 'Sunday': 2}","{1: 290, 2: 75, 3: 23, 4: 8, 5: 5, 6: 3, 9: 3, 13: 1, 10: 1, 8: 1}",13
1,rvol,WINDOW_375_THRESH_3.0,13106,315,2.4034793224477338,151,164,47.93650793650794,52.06349206349207,8533.653968253968,1437.2937221483855,4.88955919378698,"{19: 52, 20: 30, 23: 23, 3: 17, 10: 16, 2: 14, 6: 14, 11: 14, 5: 13, 9: 13, 22: 12, 14: 11, 12: 11, 1: 11, 17: 9, 18: 9, 7: 9, 0: 9, 4: 8, 15: 7, 21: 5, 16: 4, 8: 3, 13: 1}","{'Monday': 105, 'Tuesday': 63, 'Thursday': 50, 'Wednesday': 40, 'Sunday': 30, 'Friday': 27}","{1: 108, 2: 35, 3: 14, 4: 5, 10: 1, 6: 1, 14: 1, 21: 1, 19: 1, 5: 1}",21
2,zscore,WINDOW_375_THRESH_3.0,13106,220,1.678620479169846,107,113,48.63636363636364,51.36363636363637,12190.181818181818,1427.1833773087071,3.640244055086863,"{14: 39, 19: 35, 18: 32, 15: 30, 13: 21, 17: 15, 12: 13, 11: 9, 16: 8, 20: 8, 9: 4, 10: 3, 7: 2, 6: 1}","{'Thursday': 63, 'Tuesday': 54, 'Wednesday': 44, 'Monday': 30, 'Friday': 29}","{1: 138, 2: 17, 3: 8, 4: 2, 5: 2, 6: 1}",6
