,type,combo,total_candles,total_spikes,spike_rate_pct,long_spikes,short_spikes,long_pct,short_pct,avg_spike_vol,avg_normal_vol,avg_rvol,spike_by_hour,spike_by_day,consecutive,max_consecutive
0,ratio,WINDOW_375_THRESH_8.0,13106,47,0.3586143750953762,19,28,40.42553191489361,59.57446808510638,20461.617021276597,1539.997626158205,6.303779181591,"{19: 18, 15: 6, 18: 6, 11: 4, 17: 4, 13: 3, 14: 3, 12: 2, 7: 1}","{'Wednesday': 13, 'Tuesday': 11, 'Thursday': 9, 'Friday': 8, 'Monday': 6}","{1: 41, 2: 3}",2
1,rvol,WINDOW_375_THRESH_8.0,13106,22,0.16786204791698459,9,13,40.909090909090914,59.09090909090909,19376.0,1577.9771476612657,12.790061812907176,"{23: 6, 19: 4, 5: 2, 17: 2, 20: 2, 2: 1, 6: 1, 7: 1, 10: 1, 18: 1, 21: 1}","{'Sunday': 6, 'Monday': 5, 'Tuesday': 5, 'Thursday': 4, 'Wednesday': 2}","{1: 13, 2: 3, 3: 1}",3
2,zscore,WINDOW_375_THRESH_8.0,13106,20,0.15260186174271326,9,11,45.0,55.00000000000001,28863.0,1566.1978450252177,8.561719831433411,"{19: 9, 15: 3, 13: 2, 18: 2, 7: 1, 11: 1, 14: 1, 17: 1}","{'Tuesday': 7, 'Thursday': 5, 'Monday': 3, 'Wednesday': 3, 'Friday': 2}",{1: 20},1
