run_timestamp,universe,start_date,end_date,rsi_period,ma_short,ma_long,rsi_entry,rsi_exit,stop_loss_pct,portfolio_slots,tcost_per_side,slippage_per_side,total_return,cagr,volatility,best_day,worst_day,max_drawdown,sharpe,sortino,calmar,trades,win_rate,avg_win,avg_loss,profit_factor,avg_hold_days,stopped_out,stop_rate,best_trade,worst_trade,median_trade,coverage,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
2026-04-14 20:23:57,NIFTY_500_10_25,2010-10-18,2025-12-30,2,5,200,10,90,2.0,100,0.1,0.05,60.787681,0.319023,0.082503,0.065376,-0.031389,-0.056388,2.6924,4.6048,5.6576,54036,0.5305,0.033057,-0.020887,1.788,3.61,22118,0.4093,0.402128,-0.023,0.003816,97.04,0.051,0.0096,0.1553,0.1035,0.5973,0.2873,0.1864,0.3597,0.1107,0.1029,0.4374,0.9501,0.332,0.5119,0.6832,0.1831,
2026-04-14 20:24:34,NIFTY_750_10_25,2010-10-18,2025-12-30,2,5,200,10,90,2.0,100,0.1,0.05,511.107591,0.52028,0.121085,0.103505,-0.050939,-0.089106,3.0406,5.0838,5.8389,76147,0.5204,0.03543,-0.021059,1.8259,3.56,32173,0.4225,2.46489,-0.023,0.002879,98.21,0.0726,0.0241,0.2277,0.1603,1.031,0.4224,0.2971,0.6051,0.1544,0.1376,0.7726,1.6618,0.4864,0.9087,1.3745,0.3035,
2026-04-14 20:27:25,NIFTY_500_26,2026-01-01,2026-04-10,2,5,200,10,90,2.0,100,0.1,0.05,0.01306,0.050014,0.041209,0.006755,-0.009097,-0.011949,-0.2094,-0.2656,4.1857,734,0.47,0.02762,-0.021103,1.1608,3.61,340,0.4632,0.160885,-0.023,-0.006016,95.52,,,,,,,,,,,,,,,,,0.0131
2026-04-14 20:26:41,NIFTY_750_26,2026-01-01,2026-04-10,2,5,200,10,90,2.0,100,0.1,0.05,0.018791,0.072532,0.052735,0.008784,-0.01035,-0.018473,0.2489,0.3126,3.9265,954,0.4581,0.02942,-0.021196,1.1732,3.58,458,0.4801,0.160885,-0.023,-0.009322,97.01,,,,,,,,,,,,,,,,,0.0188
