entry_date,exit_date,entry_price,exit_price,trade_return,trade_return_net,stopped_out,hold_days,symbol
2026-01-02,2026-01-05,972.9,979.7,0.006989,0.003989,False,3,BAJFINANCE
2026-01-02,2026-01-05,453.0,463.3,0.022737,0.019737,False,3,LATENTVIEW
2026-01-02,2026-01-05,157.44,153.99,-0.02,-0.023,True,3,LEMONTREE
2026-01-02,2026-01-06,910.441,930.4868,0.022018,0.019018,False,4,CCL
2026-01-02,2026-01-06,1808.8,1772.6,-0.02,-0.023,True,4,POLICYBZR
2026-01-05,2026-01-06,3044.0,3289.0,0.080486,0.077486,False,1,NETWEB
2026-01-02,2026-01-07,8379.0,8182.0,-0.02,-0.023,True,5,APARINDS
2026-01-05,2026-01-07,735.6,713.2,-0.02,-0.023,True,2,BIKAJI
2026-01-05,2026-01-07,153.99,148.26,-0.02,-0.023,True,2,LEMONTREE
2026-01-06,2026-01-07,386.1,372.9,-0.02,-0.023,True,1,M&MFIN
2026-01-05,2026-01-08,3099.0,3209.0,0.035495,0.032495,False,3,RADICO
2026-01-06,2026-01-08,1818.0,1775.0,-0.02,-0.023,True,2,GRAVITA
2026-01-06,2026-01-08,1772.6,1720.0,-0.02,-0.023,True,2,POLICYBZR
2026-01-07,2026-01-08,421.45,444.0,0.053506,0.050506,False,1,BSOFT
2026-01-07,2026-01-08,5985.0,6107.0,0.020384,0.017384,False,1,LTIM
2026-01-07,2026-01-08,4299.8999,4398.0,0.022815,0.019815,False,1,LTTS
2026-01-07,2026-01-08,372.9,361.8,-0.02,-0.023,True,1,M&MFIN
2026-01-07,2026-01-08,118.3496,115.8528,-0.02,-0.023,True,1,NBCC
2026-01-07,2026-01-08,14592.0,15139.0,0.037486,0.034486,False,1,NEULANDLAB
2026-01-07,2026-01-09,361.3566,343.3155,-0.02,-0.023,True,2,BPCL
2026-01-07,2026-01-09,1221.981,1181.1154,-0.02,-0.023,True,2,DCMSHRIRAM
2026-01-07,2026-01-09,1510.0,1465.0,-0.02,-0.023,True,2,RELIANCE
2026-01-08,2026-01-09,808.95,786.1,-0.02,-0.023,True,1,CENTURYPLY
2026-01-08,2026-01-09,1775.0,1717.1,-0.02,-0.023,True,1,GRAVITA
2026-01-08,2026-01-09,475.0,452.0,-0.02,-0.023,True,1,HINDPETRO
2026-01-08,2026-01-09,84.39,85.9,0.017893,0.014893,False,1,IDFCFIRSTB
2026-01-08,2026-01-09,1181.0,1149.0,-0.02,-0.023,True,1,KPIL
2026-01-08,2026-01-09,115.8528,111.6082,-0.02,-0.023,True,1,NBCC
2026-01-08,2026-01-09,471.0,460.55,-0.02,-0.023,True,1,POONAWALLA
2026-01-08,2026-01-09,1575.4,1520.2,-0.02,-0.023,True,1,TBOTEK
2026-01-07,2026-01-12,4111.6036,4014.0474,-0.02,-0.023,True,5,CUMMINSIND
2026-01-07,2026-01-12,373.4956,356.514,-0.02,-0.023,True,5,TRIVENI
2026-01-08,2026-01-12,2088.0,2023.5,-0.02,-0.023,True,4,BHARTIARTL
2026-01-08,2026-01-12,361.8,346.5,-0.02,-0.023,True,4,M&MFIN
2026-01-09,2026-01-12,996.0,960.6,-0.02,-0.023,True,3,ADANIENSOL
2026-01-09,2026-01-12,786.1,765.0,-0.02,-0.023,True,3,CENTURYPLY
2026-01-09,2026-01-12,2546.3,2485.0,-0.02,-0.023,True,3,DOMS
2026-01-09,2026-01-12,19985.0,18710.0,-0.02,-0.023,True,3,FORCEMOT
2026-01-09,2026-01-12,102.03,99.5,-0.02,-0.023,True,3,GMRAIRPORT
2026-01-09,2026-01-12,2582.0,2513.0,-0.02,-0.023,True,3,HDFCAMC
2026-01-09,2026-01-12,802.7065,769.0482,-0.02,-0.023,True,3,JSL
2026-01-09,2026-01-12,1171.1377,1137.9962,-0.02,-0.023,True,3,KIRLOSENG
2026-01-09,2026-01-12,306.0,299.7,-0.02,-0.023,True,3,LTF
2026-01-09,2026-01-12,140.0454,136.8136,-0.02,-0.023,True,3,MRPL
2026-01-09,2026-01-12,111.6082,108.8616,-0.02,-0.023,True,3,NBCC
2026-01-09,2026-01-12,1775.9,1740.0,-0.02,-0.023,True,3,TATACOMM
2026-01-08,2026-01-13,117.6349,115.1925,-0.02,-0.023,True,5,MOTHERSON
2026-01-08,2026-01-13,17719.0,18000.0,0.015859,0.012859,False,5,PTCIL
2026-01-09,2026-01-13,1736.2,1700.0,-0.02,-0.023,True,4,BHARTIHEXA
2026-01-09,2026-01-13,830.15,811.0,-0.02,-0.023,True,4,CHOICEIN
2026-01-09,2026-01-13,278.55,264.95,-0.02,-0.023,True,4,CUB
2026-01-09,2026-01-13,588.15,634.0,0.077956,0.074956,False,4,HINDZINC
2026-01-09,2026-01-13,1269.1716,1214.0119,-0.02,-0.023,True,4,UNOMINDA
2026-01-09,2026-01-13,1014.2,984.0,-0.02,-0.023,True,4,VIJAYA
2026-01-12,2026-01-13,34135.0,34830.0,0.02036,0.01736,False,1,3MINDIA
2026-01-12,2026-01-13,2890.1001,2750.0,-0.02,-0.023,True,1,GVT&D
2026-01-12,2026-01-13,178.4,183.5,0.028587,0.025587,False,1,TATASTEEL
2026-01-07,2026-01-14,256.7,248.5,-0.02,-0.023,True,7,FEDERALBNK
2026-01-08,2026-01-14,444.95,447.0,0.004607,0.001607,False,6,STARHEALTH
2026-01-09,2026-01-14,303.0,305.0,0.006601,0.003601,False,5,ITI
2026-01-09,2026-01-14,4399.1914,4284.9268,-0.02,-0.023,True,5,KEI
2026-01-09,2026-01-14,4029.0,3900.0,-0.02,-0.023,True,5,LT
2026-01-09,2026-01-14,460.55,459.0,-0.003366,-0.006366,False,5,POONAWALLA
2026-01-09,2026-01-14,214.5699,208.2532,-0.02,-0.023,True,5,SCI
2026-01-12,2026-01-14,770.05,821.25,0.066489,0.063489,False,2,ABSLAMC
2026-01-12,2026-01-14,960.6,937.0,-0.02,-0.023,True,2,ADANIENSOL
2026-01-12,2026-01-14,141.65,143.0,0.009531,0.006531,False,2,ADANIPOWER
2026-01-12,2026-01-14,165.47,160.0,-0.02,-0.023,True,2,CESC
2026-01-12,2026-01-14,7589.0,7660.0,0.009356,0.006356,False,2,CRAFTSMAN
2026-01-12,2026-01-14,18710.0,20095.0,0.074025,0.071025,False,2,FORCEMOT
2026-01-12,2026-01-14,628.0,594.0,-0.02,-0.023,True,2,GRAPHITE
2026-01-12,2026-01-14,310.1,298.5,-0.02,-0.023,True,2,GSPL
2026-01-12,2026-01-14,872.7476,843.8223,-0.02,-0.023,True,2,HBLENGINE
2026-01-12,2026-01-14,577.0,554.0,-0.02,-0.023,True,2,HEG
2026-01-12,2026-01-14,299.7,286.1,-0.02,-0.023,True,2,LTF
2026-01-12,2026-01-14,346.5,362.8,0.047042,0.044042,False,2,M&MFIN
2026-01-12,2026-01-14,290.4065,306.4792,0.055345,0.052345,False,2,MANAPPURAM
2026-01-12,2026-01-14,47.82,45.6,-0.02,-0.023,True,2,MSUMI
2026-01-12,2026-01-14,108.8616,104.5671,-0.02,-0.023,True,2,NBCC
2026-01-13,2026-01-14,601.0,588.4,-0.02,-0.023,True,1,GRANULES
2026-01-13,2026-01-14,1671.7,1631.0,-0.02,-0.023,True,1,MFSL
2026-01-13,2026-01-14,864.0,888.0,0.027778,0.024778,False,1,NAM-INDIA
2026-01-09,2026-01-15,343.3155,347.1085,0.011048,0.008048,False,6,BPCL
2026-01-09,2026-01-15,150.4,153.89,0.023205,0.020205,False,6,CANBK
2026-01-09,2026-01-15,895.0,917.45,0.025084,0.022084,False,6,CANFINHOME
2026-01-09,2026-01-15,563.7,572.35,0.015345,0.012345,False,6,GMDCLTD
2026-01-09,2026-01-15,2799.8,2795.8,-0.001429,-0.004429,False,6,GRASIM
2026-01-09,2026-01-15,452.0,440.15,-0.02,-0.023,True,6,HINDPETRO
