,indicator,combo,total_trades,win_trades,loss_trades,win_rate %,avg_pnl %,total_pnl $,stop_rate
0,ratio,HOLD_3_SL_0.03,639,234,405,0.36619718309859156,0.07662066824468164,25.50512195587089,0.4538341158059468
1,rvol,HOLD_3_SL_0.03,306,75,231,0.24509803921568626,0.33103960777542213,95.6382162475584,0.6568627450980392
2,zscore,HOLD_3_SL_0.03,216,80,136,0.37037037037037035,0.24700607429258817,39.54375946044913,0.4583333333333333
3,ratio,HOLD_3_SL_0.05,639,271,368,0.4241001564945227,-0.03595417550561288,-18.271457862854525,0.2644757433489828
4,rvol,HOLD_3_SL_0.05,306,97,209,0.31699346405228757,0.17075031686066167,59.166026496886964,0.5163398692810458
5,zscore,HOLD_3_SL_0.05,216,88,128,0.4074074074074074,-0.06136776906345847,-8.421037483215365,0.3287037037037037
6,ratio,HOLD_3_SL_0.1,639,292,347,0.4569640062597809,-0.11140039100214513,-40.44191131591836,0.07981220657276995
7,rvol,HOLD_3_SL_0.1,306,115,191,0.3758169934640523,-0.6934535198816915,-214.2979866027833,0.35947712418300654
8,zscore,HOLD_3_SL_0.1,216,98,118,0.4537037037037037,0.056002422249846515,10.179016876220672,0.13425925925925927
9,ratio,HOLD_7_SL_0.03,641,199,442,0.31045241809672386,0.19299182285267705,37.45720790862934,0.6505460218408736
10,rvol,HOLD_7_SL_0.03,314,70,244,0.2229299363057325,0.6190584716265276,140.73281295776317,0.7420382165605095
11,zscore,HOLD_7_SL_0.03,219,54,165,0.2465753424657534,0.2409707292253807,11.005896987914717,0.6940639269406392
12,ratio,HOLD_7_SL_0.05,641,257,384,0.40093603744149764,0.23383871146743068,63.04799346923721,0.46801872074882994
13,rvol,HOLD_7_SL_0.05,314,98,216,0.31210191082802546,1.7660099927422737,404.3235080718988,0.6146496815286624
14,zscore,HOLD_7_SL_0.05,219,73,146,0.3333333333333333,-0.01694985788805688,-27.410030937195067,0.5570776255707762
15,ratio,HOLD_7_SL_0.1,641,297,344,0.46333853354134164,-0.23202724191834717,-149.69001197815032,0.24804992199687986
16,rvol,HOLD_7_SL_0.1,314,128,186,0.40764331210191085,1.1469509177929633,188.05101966857825,0.46496815286624205
17,zscore,HOLD_7_SL_0.1,219,93,126,0.4246575342465753,-0.1422403973068676,-53.536056518554915,0.3013698630136986
18,ratio,HOLD_10_SL_0.03,641,160,481,0.24960998439937598,1.083311445920146,413.6799005126945,0.6817472698907956
19,rvol,HOLD_10_SL_0.03,314,70,244,0.2229299363057325,0.5741618755784228,107.10513374328552,0.7579617834394905
20,zscore,HOLD_10_SL_0.03,219,56,163,0.2557077625570776,1.8720301090295919,251.48886489868138,0.7031963470319634
21,ratio,HOLD_10_SL_0.05,641,241,400,0.37597503900156004,1.4388846455322926,552.4586057662956,0.49765990639625585
22,rvol,HOLD_10_SL_0.05,314,102,212,0.3248407643312102,1.1369528555963637,225.74203147888096,0.6273885350318471
23,zscore,HOLD_10_SL_0.05,219,74,145,0.3378995433789954,1.6610730905244835,212.51446971893296,0.5753424657534246
24,ratio,HOLD_10_SL_0.1,641,277,364,0.43213728549141966,1.0687305601818777,382.8100856780999,0.27613104524180965
25,rvol,HOLD_10_SL_0.1,314,129,185,0.410828025477707,0.4411373116029827,-12.647946929932573,0.49044585987261147
26,zscore,HOLD_10_SL_0.1,219,95,124,0.4337899543378995,2.10530309185838,282.9429683685301,0.319634703196347
